t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
right time 4th block . - . -,0,0.107,0,0.125,3,0,0,0,0
great night ! Tomorrow mothers day,0,0.08,0,0.333,0,0.167,0,0,0
blessing brothers Christ working tirelessly Kingdom God .,0,0.107,0,0.125,0,0.5,0,0,0
Gettin ready hit mall withmy mom Jayden ! THINGS withFAITH ! ! ! !,0,0.187,0.071,0.071,3,0,0,0.071,0
FIND happiness simplest things,0,0.053,0.25,0,0,0.25,0,0,0
turns pants wore entire day . _ .,0,0.107,0,0.125,2,0,0,0,0
Sooo readyyy summerr babyyyy ! ! ! ! ! ! ! ! !,0,0.173,0,0,8,0,0,0,0
Extreme sadness,1,0.027,0,0,0,0,0,0,0
moment . Katniss gale . read .,1,0.093,0,0.143,0,0,0,0,0
Dose know good bands coming near Boston anytime soon . . . . nt concert,1,0.2,0,0.067,3,0.067,0,0,0
"think luv , luv wit slut .",1,0.093,0,0,0,0,0,0.143,0
Day,1,0.013,0,0,0,0,0,0,0
asked sing . . . . aha . coffee mornin time . psychology past questionsandrevision suck !,1,0.227,0,0,3,0.059,0,0,0
Life sucks ur having fun .,1,0.08,0,0,0,0.167,0,0,0
library friggin bored .,1,0.053,0,0,0,0,0,0,0
Work . . .,1,0.053,0,0,2,0,0,0,0
"hate seeing people cry , makes wanna cry",1,0.107,0,0,0,0,0,0.125,0.125
gon na miss Black Friday Commercials . . . .,1,0.133,0,0.1,3,0,0,0,0
Got work late . Lame ! Busy day .,1,0.12,0,0.111,0,0,0,0,0
dead past 2 days . . . flu sucks,1,0.12,0,0.111,2,0,0,0.111,0.111
mandus poppin . . . Got burned legion hot olive oil . . .,1,0.187,0,0,4,0,0,0.071,0
wanna mama called MAMA . . . MAMA ! ! !,1,0.147,0.182,0,4,0,0,0,0
Omg going robinson tyler wfm . freakin miss anthony ugh today kinda sucks . Lex<3,1,0.2,0,0.067,0,0,0,0,0
Josie surgery . officially unable procreate . way . . . Poor medicated baby,1,0.187,0,0.071,2,0.071,0,0,0.071
soooo hungry right ! lunch time !,1,0.093,0,0,0,0,0,0,0
feeling good . . kinda tired . . miss . . . wait grad weekend ! !,1,0.227,0,0,5,0.059,0,0,0
awoke completely freaked frantic frenzy . going long night .,1,0.133,0,0,0,0.1,0,0.1,0.3
banged bloody foot ! ow,1,0.067,0,0,0,0,0,0.2,0.4
RM win game minutes Madridistas Cules stayed long watching RM win end . Disgusting fanbase,1,0.2,0.133,0.067,0,0.133,0,0.067,0
"realized love horror movies , lot .",1,0.093,0,0,0,0.143,0,0.143,0.143
start favourite chore . . . . mopping floor,1,0.12,0,0,3,0,0,0,0
wait home watch New Moon trailer clip . Stupid work Internet access restrictions,1,0.173,0,0.077,0,0.077,0,0,0
tired 17 hours work tomorrow,1,0.067,0,0.4,0,0,0,0,0
Missed UPS guy ! Ugh sad got cool stuff today super excited ! looking forward tonight,1,0.213,0.062,0.125,0,0.125,0,0,0
class Scott Julie today going miss . . . bought bottle champagne congratulatory gift .,1,0.2,0,0.133,2,0.133,0,0,0
"love ! ? baby hurt , hurt , . WANT WATCH ' NIGHT RUXBURY ' RIGHT ! ! ! !",1,0.267,0.25,0,5,0.1,0,0.1,0.1
think reduced tears Westlife farewell tour year :(,1,0.107,0,0.125,0,0,0,0,0
m gloomy today,1,0.04,0,0.333,0,0,0,0,0
trist følese og ha sett alle friday night lights andre 2 gang . . . . må vell vente noen mnd før jeg ser alt på nytt,1,0.36,0,0.074,3,0,0,0.074,0.037
"aww , hollie steel BGT tonight ? wharra shame",1,0.12,0.111,0.222,0,0,0,0,0
day work . Taking shared googledocs . . . actually kinda getting,1,0.16,0,0,2,0,0,0,0
Lmao come mad replies m like damn m missed . . . Damn follow friday lmao m important missed,1,0.253,0,0.053,2,0.053,0,0.158,0.053
realized fully want ? feelin ' .,1,0.093,0,0,1,0,0,0,0
Removal regardless cost lamentable answer : ajvKSK,1,0.093,0,0,0,0,0,0,0
Mean people suck .,1,0.053,0,0,0,0,0,0,0
need 1200 words brain making bird noises .,1,0.107,0,0.125,0,0,0,0,0
Regrets buying raf fair isle season,1,0.08,0,0,0,0,0,0,0
feel ipod bus,1,0.04,0,0,0,0,0,0,0
m mad cuz nt picture work .,1,0.093,0,0,0,0,0,0.143,0.143
RIP . Twinkie . wonderful pet rat .,1,0.107,0.125,0,0,0.125,0,0,0
hate Twitter allow characters meaningful tweet ;),1,0.093,0,0,0,0,0,0.143,0.143
worst affliction know convinced ?,1,0.067,0,0,0,0,0,0,0.2
", Leah brought home single slice apple pie , Evil Roommate ate slept .",1,0.187,0,0.071,0,0.071,0,0.071,0.071
nt want ugly anymore,1,0.053,0,0,0,0,0,0,0
carry wayward son peace lay weary head rest cry,1,0.12,0,0,0,0.111,0,0,0
Mana - 1986,1,0.04,0,0.333,0,0,0,0,0
gather strength pain time die learn live .,1,0.107,0,0,0,0,0,0,0.25
"sad day today , day westlife , think gon na greet :(",1,0.16,0,0,0,0.083,0,0,0
"overwhelming finally catching cousin / bff seen years . ah , memories . miss",1,0.187,0,0.071,0,0,0,0,0
"school ; Victoria Bryan (: _ school soon , sadd",1,0.133,0,0.1,0,0,0,0,0
Penny dreadful 3 temporada,1,0.053,0,0.5,0,0,0,0.25,0.25
people start celebrating Christmas . Poor turkey day forgotten year,1,0.133,0,0.1,0,0.2,0,0,0
nt hug today,1,0.04,0,0.333,0,0.333,0,0,0
walk grand peeps lol feet hurting thought xx,1,0.107,0,0,0,0,0,0.125,0.125
missing husband . want home .,1,0.08,0,0,0,0.167,0,0,0
havin stupid stomach pain . . . Today outing SPH frenz stomach nvr fails dissappoint . Haiz,1,0.227,0.059,0.118,2,0,0,0,0.118
Aww . . . think Basketball practice week . ☹,1,0.133,0,0,2,0,0,0,0
ugh wish school year faster life,1,0.08,0,0,0,0,0,0,0
kinda sad time miss brother friends suck mean called 2 weeks,1,0.147,0,0.091,0,0.182,0,0,0
Sudden realisation leave school 5 months . happened time ?,1,0.133,0,0.1,0,0,0,0,0
MacBook Pro sitting close poor MacBook ashamed plastic face sides . . .,1,0.173,0,0.154,2,0.077,0,0,0
shit home tallcree ( rez ) nt boyfriend,1,0.107,0,0,0,0.125,0,0.125,0
Feeling like dope . Vegas coworkers friends ( know ! ) . happen,1,0.173,0,0.077,2,0.154,0,0,0
"parts realize 2nd amendment means absolute , enact stricter gun control laws .",1,0.173,0,0.077,0,0,0,0.077,0.077
slept 12 hrs ! body aching,1,0.08,0,0.167,0,0,0,0,0
tired ve walked 6 . 05 kilometres today,1,0.107,0,0.375,0,0,0,0,0
"watching "" Thing "" Comcast . Missing boo like crrrrrazy !",1,0.147,0,0.091,0,0.091,0,0,0
"cars , , , , cars . . . . cars . . . . . need . ha ha . found night , wanted bad ! sold .",1,0.387,0,0.034,10,0,0,0.034,0.034
broke 2 boys night . Wow,1,0.08,0,0.167,0,0,0,0,0
hate homeless dog commercials come change channel,1,0.093,0,0,0,0,0,0.143,0.286
"know painted grim picture chances . simply stand , surely die .",1,0.16,0,0,0,0,0,0,0.167
unit pickleball high school,1,0.053,0,0,0,0,0,0,0
going thursdays terrible idea . knew reason quarter . * pops advil *,1,0.173,0,0.154,1,0,0,0.077,0.077
miss HCC NoteOrious . need stop listening high school recordings .,1,0.147,0.091,0.182,0,0,0,0,0
thinks perfect weather camping cuddle dave stars sleep,1,0.107,0,0,0,0.25,0,0,0
youtube working properly ? watch videos failing load,1,0.107,0,0,0,0,0,0,0.125
love TGIF working 6 tomorrow,1,0.067,0.2,0.4,0,0.4,0,0,0
Need write 1000 words essay tomorrow 2000 friday,1,0.107,0,0.25,0,0,0,0,0
Hate fact people excuse faded weekend . . . . finest,1,0.147,0,0.091,3,0,0,0.091,0.091
Dad going Hidalgo tomorrow finals .,1,0.08,0,0.333,0,0,0,0,0
"way work , kinda sad",1,0.067,0,0,0,0,0,0,0
"Sitting watching britain got f talent , watched small girl cry sad",1,0.16,0,0,0,0,0,0,0
Went use headphones remember work :(,1,0.08,0,0,0,0,0,0,0
Wish going lake weekend . . . blast . . . miss lil bro,1,0.187,0,0,4,0,0,0.071,0.071
Livin ur iznt nice . miss mum,1,0.093,0,0,0,0,0,0,0
cold room tonight,1,0.04,0,0.333,0,0,0,0,0
wish grow good looking beard,1,0.067,0,0,0,0.2,0,0,0
need hugs Joe Jonas,1,0.053,0,0.25,0,0.25,0,0,0
sou um loser ou o quê ?,1,0.093,0,0,0,0,0,0,0
", wonderful fishy died fish killed ! , thought playing . . . ):",1,0.187,0,0,3,0.143,0,0.071,0.143
absolutely hate math ! Definitely failed test,1,0.093,0,0,0,0,0,0.143,0.286
bringing snacks,1,0.027,0,0,0,0,0,0,0
sooooooooooooo phone broken wanna reply texts ?,1,0.093,0,0,0,0,0,0,0.143
walking dead tonight .,1,0.053,0,0.25,0,0,0,0.25,0.25
bah know logged server 9 chunks crops order grow .,1,0.133,0,0.1,0,0,0,0,0
Trying support friend world came crashing .,1,0.093,0,0,0,0.143,0,0,0.143
roommates making feel bad participating Secret Santa :(,1,0.107,0,0.125,0,0.125,0,0.125,0.125
sad leaving NY m going miss family grandma . :(,1,0.133,0.1,0.1,1,0.1,0,0,0
weird night night misses friends,1,0.067,0,0.2,0,0.2,0,0,0
m tired . . time sleep,1,0.08,0,0,1,0,0,0,0
reality morning,1,0.027,0,0,0,0,0,0,0
Sitting depressed n staring space,1,0.067,0,0,0,0,0,0,0.2
skip gym today .,1,0.053,0,0.25,0,0,0,0,0
day Ko Olina . north shoreee ( :,1,0.107,0,0.125,1,0,0,0,0
"hillsong tom . night , dad birthday ! wish bday .",1,0.147,0,0.182,0,0.182,0,0,0
loner Twitter ? sad . . real life twitter Taylor Leigh Carroll loner,1,0.173,0,0.077,1,0,0,0,0
night stayed 😊,1,0.04,0,0,0,0,0,0,0
Pumpkin spice latte way sweet ? having adult taste buds like ? frustrated finish thing .,1,0.213,0,0,0,0.125,0,0.062,0
Saying good bye ronald today difficult sad miss yuu !,1,0.133,0,0.2,0,0.1,0,0,0
crappy music radio,1,0.04,0,0,0,0.333,0,0,0
em constsntly callin private shit internet gangster,1,0.093,0,0,0,0,0,0.143,0
Stick true mates u got fake u reason,1,0.107,0,0,0,0,0,0,0
got ass kicked Tripoly lol got bad cards . . . suck,1,0.16,0,0.083,2,0,0,0.167,0.083
"Poor Greg stupid UK , sympathy vote . xo",1,0.12,0.111,0.222,1,0,0,0,0
want cover ' Mirror ' need find rapper LMAO .,1,0.133,0.1,0.1,0,0,0,0,0
gon na watch barcelona match today ; ' (,1,0.12,0,0.111,2,0,0,0,0
nt eat cause got weight,1,0.067,0,0,0,0,0,0,0
Yea baby ! ! m gon na miss,1,0.107,0,0,2,0.125,0,0,0
RIP Robin Washington Park library,1,0.067,0.2,0.4,0,0,0,0,0
""" Alarm set 5 hours 7 minutes """,1,0.107,0,0.125,0,0,0,0,0.125
set p phone twitter,1,0.053,0,0,0,0,0,0,0
Sorry . think - 2 . 5 hrs till 2 days !,1,0.16,0,0.25,0,0,0,0,0
"Americans , , feeling borderline despair . Looking situation control .",1,0.147,0,0.091,1,0,0,0,0.091
"Gon na miss Nanna Bampa , going lake disdrict ): Omg ! ! got disney channel . Miss baby matt Love x mitchel",1,0.307,0,0.087,1,0.087,0,0,0
". finished watching hair tutorials ; want try , think need LOT practice .",1,0.187,0.071,0,0,0,0,0,0
pry rock foot epic run .,1,0.08,0,0,0,0,0,0,0
"bro , hungry ! -___- mother wo let eat , guess wants starve , !",1,0.2,0,0,2,0,0,0,0
work sucks big time,1,0.053,0,0,0,0,0,0,0
Waited like fcukin day fcukin shxt ai,1,0.093,0,0.143,0,0.143,0,0,0
"Friday Night Magic night , lost bad suck draft",1,0.12,0,0.111,0,0.111,0,0.111,0.111
Need sleep,1,0.027,0,0,0,0,0,0,0
Frank UPS ' day today . . . sad best delivery guy ! Hope new guy fucktard . . .,1,0.267,0.05,0.1,4,0.05,0,0.05,0
sad probably Fleetwood Mac .,1,0.067,0,0.2,0,0,0,0,0
Ugh week push produce pack produced pain !,1,0.107,0,0.125,0,0,0,0,0.125
"boyfriend left Germany today , wo 2 months",1,0.107,0,0.375,0,0,0,0,0
shit nabura lht ng files ko sa USB ksama pa nmn dun ung mga pics ng =( ( un,1,0.253,0.053,0.053,0,0,0,0.053,0
. . . speakers working right . Sound coming static - quality . ; - ;,1,0.213,0,0,5,0,0,0,0
hours minutes day packing spree ! ! ! Ugh work,1,0.133,0,0.1,2,0,0,0,0
3 PEOPLE telling friendzoned today = ) ) ) ),1,0.133,0.1,0.2,3,0,0,0,0
hold tears </3 !,1,0.053,0,0,0,0,0,0,0
Mmmm Ham Yummy ! hat hair . . . Stupid Deli . _ .,1,0.187,0,0.071,4,0,0,0,0
clearly gon na find cupcake shop East ?,1,0.107,0,0.125,0,0,0,0,0
Oggi dei bambini mi hanno chiesto chi aveva acceso la luce e io ho detto BABBO NATALE e loro hanno detto che non esiste nemmeno .,1,0.347,0.077,0.077,0,0,0,0,0
"Sh t , getting sad . currently library j think tooooo",1,0.147,0,0,0,0,0,0,0
stressin h - core . supposed cleaning room . feels like crap .,1,0.173,0,0,0,0.077,0,0,0
nt beleive college football season !,1,0.08,0,0,0,0,0,0,0
"rear - ended car morning . Okay , ACTUAL car silver Acura TSX .",1,0.187,0.143,0.071,0,0,0,0,0
wowowee willie fortune making depressed damn love .,1,0.107,0,0,0,0.25,0,0.125,0.125
"Oh dear ! downtown Quizno "" Business "" sign door .",1,0.147,0,0.182,0,0,0,0,0
Mentally exhausted . cuppa right almond biscotti nice .,1,0.12,0,0,0,0,0,0,0
think break heart . ( emo sounds ) . . . meh .,1,0.173,0,0,4,0.077,0,0,0
Apparently english teacherand frnds watch kids movie andsing week remind childhood,1,0.147,0,0.091,0,0.091,0,0,0
"unhappy . hate . affecting . relationships people , personality , attitude . . .",1,0.2,0,0,2,0.133,0,0.067,0.067
embarrassed slightest things fret day hate,1,0.08,0,0,0,0,0,0.167,0.167
"MIT bookstore best book selection , bookstore coupons discounts",1,0.12,0.111,0.111,0,0,0,0,0
thing Twitter remember tweet bored comes like dull sad life . 👽,1,0.16,0,0,0,0.083,0,0,0
weeks Mondays end ? ?,1,0.067,0,0.2,1,0,0,0,0
going sleep peaceful wanted hear Good Night happen Good Night . . . .,1,0.187,0,0.071,3,0.214,0,0,0
calling Dell laptop adapter replaced . hold like forever,1,0.12,0,0.111,0,0.111,0,0,0
hate watching movies set women rights . men love,1,0.12,0,0,0,0.111,0,0.111,0.111
Emory makes nigga wanna commit mass murder,1,0.093,0,0.143,0,0,0,0.143,0.143
modem offline week . . . God bless 3 g network . Tim left . . . ! ! schedule brutal,1,0.28,0,0.095,6,0.095,0,0.048,0.048
m heading home . got ta work sunday .,1,0.12,0,0.111,0,0.111,0,0,0
"got text guy like , guy ! disapointing !",1,0.12,0,0,0,0.111,0,0,0
finally class time snuggle bed :(,1,0.08,0,0,0,0.167,0,0,0
ice cream Crazy Mocha SS . means Espresso Milkshake . .,1,0.147,0.091,0.182,1,0,0,0.091,0.091
start care ignored . . . wish big heart .,1,0.133,0,0,2,0.1,0,0,0
start work missing like crazy . wo nt seeing till Tuesday,1,0.147,0,0.091,0,0.091,0,0.091,0.091
think cry . sold 97 civic . longer .,1,0.12,0,0.111,0,0,0,0,0
1 ) Traffic lame 2 ) matter hard try time 3 ) Movie ! ! ! ! ! Yay !,1,0.267,0,0.15,5,0.05,0,0,0
Cup thea stay strong cuz honey,1,0.08,0,0,0,0,0,0,0
need nap rn,1,0.04,0,0,0,0,0,0,0
decent dancing pictures form Friday,1,0.067,0,0.2,0,0.2,0,0,0
"Lost favorite thing loves , story year Key Chain . .",1,0.147,0,0.091,1,0.182,0,0,0
Loving new skype ! Especially like lives half world away home !,1,0.16,0,0.083,0,0.25,0,0,0
hate car places < Jx >,1,0.08,0,0,0,0,0,0.167,0.167
friends feel need bring gifts house warming . . . mess,1,0.147,0,0,2,0.182,0,0,0
awe . . got ta . . mom commands sleep . .,1,0.16,0,0,3,0,0,0,0
Today 777 days LeakyCon 2011 . Awesome number wish far away,1,0.147,0,0.182,0,0.091,0,0,0
want store ice cream . wasted cute outfit . . . sitting ass twitter ! !,1,0.213,0,0,3,0,0,0,0
moment fuck hurts .,1,0.053,0,0,0,0,0,0.25,0.25
hollie steel bgt absolutely excruciating watch . . . poor girl .,1,0.16,0,0,2,0,0,0,0.083
Omg poor deer ! ! ! bus deers laying dead : _ (,1,0.173,0,0,4,0,0,0.077,0.077
day spent bed . life .,1,0.08,0,0.167,0,0,0,0,0
Oddo grandfather passed away sleep,1,0.067,0,0.2,0,0,0,0,0
Observing choir rehursal want home .,1,0.08,0,0,0,0.167,0,0,0
Got bad headache,1,0.04,0,0,0,0,0,0.333,0.333
Tired . right early,1,0.053,0,0,0,0,0,0,0
lonely world live,1,0.04,0,0,0,0,0,0,0
"* wants body look certain way**eats 3 cookies , mac n cheese , kitchen sink , small neighbor child *",1,0.267,0,0.05,0,0,0,0,0
rain perfect day clothes wet,1,0.067,0,0,0,0.2,0,0,0
heading dmv pay hard - earned money,1,0.093,0,0,0,0.143,0,0,0
Barg - posted GMOD birthday ! ! ! .,1,0.12,0.111,0,3,0.111,0,0,0
Ugh worst night :(,1,0.053,0,0,0,0,0,0,0
nt wanna work tonight,1,0.053,0,0.25,0,0,0,0,0
fjdskal m frustrated .,1,0.053,0,0,0,0,0,0.25,0
moment realize wearing 4 pieces clothing 24 hours day week . . . .,1,0.187,0,0.214,3,0,0,0,0
"lazy rain gymandandtanning possibe , work andand small social gathering tha corner",1,0.16,0,0,0,0,0,0,0
home left gummy bears,1,0.053,0,0,0,0.25,0,0,0.25
"going graduation , hubby - - feeling instead , job hunting online !",1,0.173,0,0,1,0,0,0,0.077
sleep ! ! epp awake scared crap outta !,1,0.12,0,0,1,0,0,0.111,0.111
"Finally feels like nice summer day , feeling sick",1,0.12,0,0.111,0,0.222,0,0,0.111
Miami . miss South Beach,1,0.067,0,0.4,0,0.2,0,0,0
NOTE SELF : sleep couch Grandmas house . . bed bugs bites . :(,1,0.187,0.143,0.071,2,0,0,0,0
sunny days possible outside . life,1,0.08,0,0.167,0,0.167,0,0,0
", ?",1,0.027,0,0,1,0,0,0,0
Forgot fresh fruit torte wuollet Thanksgiving .,1,0.093,0,0.143,0,0.143,0,0,0
imperitive ear x - tacy tomorrow . goodbyes buy crap ton cds .,1,0.173,0,0.077,0,0,0,0,0
Born Die ? ? ? ? beautiful things live ! & waste life trending twitter u . u,1,0.24,0,0,3,0.056,0,0,0.056
TwitterBerry hates,1,0.027,0,0.5,0,0,0,0.5,0.5
"believe feel way , lose today . lose badly .",1,0.133,0,0.1,0,0,0,0.1,0.1
"think talking . Okay need bed . BTW , miss brothers .",1,0.16,0.083,0,0,0.083,0,0,0
agree work gorgeous day ?,1,0.067,0,0.2,0,0.2,0,0,0
goodbye picnic classmate today weather fucking beautifuul ! ! !,1,0.133,0,0.1,2,0,0,0,0
"piecing photo quilt Boeing employees hung Huntington Beach . Sadly , people quilt pics laid .",1,0.213,0,0.125,0,0.062,0,0,0
bother anymore ? makin feel like m waste space,1,0.12,0,0,0,0.111,0,0,0
Ughhhhh cut hair basic collar . . . . soon ) ;,1,0.16,0,0.083,4,0,0,0,0
"friend terminal brain cancer , friend suffered major stroke unlikely recover",1,0.147,0,0,0,0.182,0,0.091,0.364
"aw miss Alice Charlotte tonight Dunno , hey spoons ;)",1,0.133,0,0.2,0,0,0,0,0.1
gone miss kay way,1,0.053,0,0,0,0,0,0,0
School shootings need stop . know quick fix . schools supposed safe .,1,0.173,0,0,0,0,0,0.077,0.077
happened dressing nicley thanksgiving ? m nicest dressed person m wearing polo shirt,1,0.173,0,0,1,0.077,0,0,0
"Wah , fav whattaburger location closing 31st . Damn . Good thing moving . Damn Mon / fri wo",1,0.253,0,0.105,0,0.105,0,0.105,0
wanna work,1,0.027,0,0,0,0,0,0,0
cat died kidney failure math test day needs better .,1,0.133,0,0,0,0,0,0,0.2
manic monday . . wish sunday . . fun day happy monday twitterland,1,0.173,0,0.231,2,0.154,0,0,0.077
fav5 today like planned,1,0.053,0,0.25,0,0.25,0,0,0
"Usually rush colder weather year ready hot coffee , dark lippies , scarves , sweaters , boots 🍂 👢 ☕ ️ 💄",1,0.293,0,0.045,0,0,0,0.045,0.045
burst crying u realize truly knows unhappy want know,1,0.12,0,0,0,0,0,0,0
fitting Class 2011 possibly goes like . promise live,1,0.12,0,0.111,0,0.111,0,0.111,0
Ugh soooo work today trying 6:10 train game . . . looking like 4 - 5 hour Sunday office .,1,0.267,0,0.2,2,0.05,0,0,0
day seniors bye bff,1,0.053,0,0,0,0,0,0,0
"got christmas presents , open . . .",1,0.107,0,0.125,2,0.25,0,0,0
sucks enjoying movie know minute away ending .,1,0.107,0,0,0,0,0,0,0
people secret haters . throw salt low !,1,0.107,0,0,0,0,0,0,0
good game wish dolphins won lol,1,0.08,0,0,0,0.167,0,0,0
Blood Blu - ray blu - ray player . . .,1,0.147,0,0,2,0,0,0,0.091
"Watching "" Kings Men "" , pretty good far !",1,0.133,0,0,1,0.1,0,0,0
"sitting katies house jo , away stuff , swine flu bronchitis s diff story .",1,0.2,0,0,0,0,0,0,0
Today wrote songs ( temple probably perform ) mothers day . Happy vesak rena xoxo,1,0.2,0,0.133,0,0.133,0,0,0
Maryland ! wake bake plans fell,1,0.08,0,0.167,0,0,0,0,0
want leave . .,1,0.053,0,0,1,0,0,0,0
Lost dig seen cedar st . btw myrtle evergreen . Beige beagle / lab - ish looking ADORABLE dude .,1,0.267,0.05,0.05,0,0.05,0,0,0
weather ugly n L . . . . cold,1,0.12,0.111,0,3,0,0,0,0
computer slooowww morning . think sign home play yard .,1,0.133,0,0.1,0,0.2,0,0,0
good mood . mama away sis talk boy weekend planned .,1,0.147,0,0,0,0.091,0,0,0
"got ta buy second season ghost whisperer , noo moneyy",1,0.133,0,0.1,0,0,0,0,0.1
Sad Christian Lacroix file bankruptcy,1,0.067,0,0,0,0,0,0,0
mosquito truck waking,1,0.04,0,0,0,0,0,0,0
dusted vacuumed apartment . think need new vacuum . . . entire apartment smoky . bought Kmart,1,0.227,0,0.059,2,0,0,0,0
hub day parade ( course ) cancelled castle mid -,1,0.133,0,0.1,0,0.1,0,0,0
able distinguish dream reality,1,0.053,0,0,0,0.25,0,0,0
"sad McFly nesse exato momento , e eu aqui . . .",1,0.16,0,0.083,2,0,0,0,0
happy sad soul rest peace,1,0.067,0,0,0,0.6,0,0,0
people txting . . . sorry phone dead resurrect . hopefully verizon replace tonight,1,0.187,0,0.071,2,0.071,0,0.071,0.071
feel like losing touch want happen ?,1,0.093,0,0,0,0.143,0,0,0
Nail polishes hate tonight,1,0.053,0,0.25,0,0,0,0.25,0.25
realised . wo able talk crazy cats Sunday . sad .,1,0.147,0,0.091,0,0,0,0.091,0.091
boo season finales . .,1,0.067,0,0,1,0,0,0,0
Wished learned play steel pan kid,1,0.08,0,0,0,0.333,0,0,0
amused . Seen Christmas prezzie pile mother father . small :(,1,0.147,0,0.091,0,0.182,0,0,0
planning having Campbell Soup Hand lunch spilled microwave . Dora Spaghettios .,1,0.16,0,0.167,0,0,0,0,0
"birth SCREAMER ? ? hate screaming children ! ! guess hate screaming children , .",1,0.2,0.067,0,3,0,0,0.267,0.267
3:30am guy friend gon na come window . fell asleep came . :(,1,0.173,0,0,1,0.077,0,0,0
"watching "" Sicko "" utterly digusted country . . .",1,0.133,0,0,2,0,0,0,0
Salvador . Wish Sao Paulo second concert,1,0.093,0,0.429,0,0,0,0,0
official- Twilight Saga ended . . . * sigh * . . . life !,1,0.2,0,0.067,6,0,0,0,0
Madly love Row . . wishing money,1,0.093,0,0,1,0.286,0,0.143,0.143
"wow , realized limit "" "" button . sucks . . . guess days max sign twitter . !",1,0.253,0,0.053,4,0,0,0,0
"woke came realization want , need 2 drop friends . Dammit !",1,0.16,0,0.083,0,0.083,0,0,0
"old internet fairly boring today , new",1,0.093,0,0.143,0,0,0,0,0
Dosen't Want Work Tomorrow,1,0.053,0,0.25,0,0,0,0,0
need attention ! pout . .,1,0.08,0,0,1,0,0,0,0
footage n’t mix — do n’t discouraged ! ran room beat week .,1,0.173,0,0.077,0,0,0,0.077,0.077
want leftover turkey allowed eat .,1,0.08,0,0,0,0,0,0,0
got paid near thought,1,0.053,0,0,0,0,0,0,0
feeling frustrated . . . things work ! !,1,0.12,0,0,3,0,0,0.111,0
wait come home ! miss Bubba . bad parents taking Canada .,1,0.16,0,0.167,0,0.083,0,0.083,0.083
Blah car repairs . . . 600 dollars . . . Shopping better deal .,1,0.2,0,0.067,4,0,0,0,0
feel good got math test,1,0.067,0,0,0,0.2,0,0,0
disappointed gon na sleep . . . .,1,0.107,0,0,3,0,0,0,0
missed iron chef,1,0.04,0,0,0,0,0,0,0
hungry ! food steal,1,0.053,0,0,0,0,0,0,0.25
"want write book . good writer . ideas , illustrate .",1,0.147,0,0,0,0.091,0,0,0
love college student home Greenwood,1,0.067,0,0.2,0,0.4,0,0,0
King looking Queen settle Good Girls Trinidad Taken hurt dnt want bf,1,0.16,0,0,0,0.083,0,0.083,0.083
like live zoo loud . actually think m going miss zoo . . . . week til,1,0.227,0,0,3,0.059,0,0,0
sorry tweet BGT poor wonderful crazy weird Greg fair . silly little girl going cope . urgh . FAIR .,1,0.267,0.1,0.1,0,0.1,0,0.05,0.05
"hungry . . going eat . . . catch guys later 4 people hurt sardonic quotes - waiting , hit",1,0.267,0,0.05,3,0,0,0.1,0.05
got short fuse m sober .,1,0.08,0,0,0,0,0,0,0
couch hungover -- do n't expect today,1,0.093,0,0.143,0,0,0,0,0
gon na happen,1,0.04,0,0,0,0,0,0,0
"Rockin River , tonight . . .",1,0.093,0,0.286,2,0,0,0,0
zombies upcoming World War Z film run .,1,0.107,0.125,0.125,0,0,0,0,0.125
m wishing weekend SOL .,1,0.067,0.2,0.2,0,0,0,0,0
"excited "" "" Logan Birthday 2 weeks . Sad wo nt party bc know kids , tho .",1,0.24,0,0.056,1,0.222,0,0,0
moving offices going miss Hollywood .,1,0.08,0,0.167,0,0,0,0,0
going tonight looks like heading Main Street,1,0.093,0,0.286,0,0.143,0,0,0
ipod missing having separation anxiety :(,1,0.08,0,0,0,0,0,0,0.167
mrs . reilly,1,0.04,0,0,0,0,0,0,0
omfg ? ! listening ADELE repeat inb dark room .,1,0.133,0.1,0.1,1,0,0,0,0.1
ucas card nt accepted discount card online,1,0.093,0,0,0,0,0,0,0
Thanksgiving Break tomorrow night ! ! !,1,0.093,0,0.429,2,0.143,0,0,0
Rest Peace Ginter fish,1,0.053,0,0.25,0,0.25,0,0,0
"Season 1 Lie . Damn , comes wait .",1,0.12,0,0,0,0,0,0.111,0
m sad missing opportunity valencia new video .,1,0.107,0,0,0,0,0,0,0
"Man , Indian rappers Brampton bad black ones .",1,0.12,0,0.222,0,0,0,0.111,0.111
finished watching series return Chasers War - crap compared,1,0.12,0,0.111,0,0,0,0,0.111
Chalk dance notation entree manchester inasmuch corinthian products discourage drag branding : ARwuEVfqv,1,0.173,0,0,0,0.077,0,0,0
"run thing want , broke .",1,0.08,0,0,0,0,0,0,0
proper relationship friendship . . . ?,1,0.093,0,0,3,0.286,0,0,0
m slowly losing followers .,1,0.067,0,0,0,0,0,0,0
tweeted fucking couch coma . best,1,0.08,0,0,0,0,0,0,0.167
300 dollar weave look terrible ! ? !,1,0.107,0,0.125,2,0,0,0.125,0.125
oh tweetdeck malfunctioning :O il web fixd,1,0.093,0.143,0,0,0,0,0,0
"Ang lungkot lang . Alam mong BV sayo , andaming gawain , tapos mukhang sad makakarelate pa ako sa Distance Andromeda .",1,0.293,0.045,0.091,0,0,0,0,0
