0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
mo,',money,",",mo,',problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish,washer,is,broken,.,got,to,wash,all,our,dish,by,hand,now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thanksgiv,'s,at,my,hous,this,year,",",here,come,the,crazi,clean,",",and,groceri,shop,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in,my,own,lane,...,happi,pleas,my,god,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oh,fuck,yes,",",brother,move,out,=,new,room,4,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,m,sick,.,and,i,sound,like,a,man,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,alway,feel,a,sens,of,elat,when,i,m,out,in,public,",",need,the,toilet,",",and,the,singl,seat,toilet,is,both,empti,and,clean, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,'m,go,to,miss,my,littl,brother,so,much,when,i,go,to,colleg,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finish,my,essay,",",now,it,time,for,some,studi,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahhh,did,n't,think,it,would,last,",",up,30,min,later,and,taken,me,an,hour,to,get,him,back,to,sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
when,you,leav,someth,to,charg,over,night,and,never,turn,the,plug,on,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,school,today,",",off,read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memori,is,sooo, ,sweet,she,'s,sing,to,izzi,while,i,relax,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,pull,a, ,w,my,film,lectur,homework,!,now,",",we,are,watch,the,episod,where,ellen,said,she,was,gay,and,some,glee,episod,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,i,'m,not,freez,my,ars,off,on,a,picket,line,it,'s,back,to,cell,control,and,communic,for,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,hate,the,rain,...,wish,i,could,go,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
see,the,iphon,4s,advert,and,want,it,!,way,out,of,my,budget,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,chocol,in,the,morn,!,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oh,",",sit,at,the,restaur,by,myself,for,2,1/2,hour,.,:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer,to,dec,1st,!,i,can,final,keep,real,butter,in,my,fridg,",",eat,the,skin,on,my,chicken,and,no,more,battl,over,cheap,ikea,furnitur,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love,be,my,parent,taxi,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tommi,cooper,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,got,home,from,work,six,hour,ago,..,and,i,'m,alreadi,on,my,way,back,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my,brother,friend,say,they,saw,a,ufo, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,"""",if,you,are,patient,in,one,moment,of,anger,",",you,will,escap,a,hundr,day,of,sorrow,.,"""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,so,unbeliv,annoy,...,i,ca,n't,tell,if,it,'s,my,class,",",my,lag,",",my,mous,or,my,playing!!!!!!!!!awweagblherh,flawfweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bath,and,an,earli,night,readi,to,see,what,anoth,week,has,to,chuck,at,us,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,m,a,sexi,niqqa,but,sometim,my,confid,level,is,on,a,all,time,low,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prematur,wrinkl,and,grey,hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,hate,rude,peopl,!,just,make,me,feel,sick,and,sorri,for,them,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
part,1,black,friday,shop,accomplish,....,part,2,start,at,4,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not,ever,have,a,beauti,marriag,that,last,a,lifetim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
realli,wanna,watch,a,movi,but,my,brother,has,the,ps3,:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love,watch,peopl,get,scare,",", ,",",it,infecti,",",just,like,a.i.d,'s,",",or,the,fear,of,aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
said,jean,were,sigh,over,",",admir,",",sigh,over,again,",",smooth,",",admir,",",sigh,over,and,final,thrown,into,the,goodwil,pile,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
get,readi,to,go,back,to,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
had,the,biggest,crush,on,her,in,highschool,but,never,had,the,ball,to,tell,her,of,be,shot,down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
are,kid,these,day,go,to,grow,up,think,dr.,dre,just,made,headphon,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,this,was,the,last,new,episod,of, ,i,ever,get,to,watch,",",i,may,just,cri,:'(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
well,done,crystal,palac,!,bye,bye,man,utd,...,:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happi,thanksgiv,:),",",thanksgiv,breakfast,then,my,game,.,last,cheerlead,game,of,the,session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kinda,feel,weird,have,peopl,grow,up,in,a,faster,pace,than,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
when,you,learn,that,your,comput,is,broken,until,march,",",you,are,go,to,be,depress,.,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,is,a,wonder,day,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,hate,peopl,with,crusti,nasti,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miss,my,flat,tummi,):,it,alway,super,flat,in,the,morn,and,then,in,the,even,it,like,huge,:/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,got,home,",",all,i,want,to,do,is,eat,and,sleep,but,i,have,to,revis,for,four,hour,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who,.put.their.plate.of.food.on.my.drumset,?,.................,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodnight,tweethead,.,english,final,at,8,am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,my,phone,memori,was,low,for,the,last,week,or,so,...,to,compens,",",it,decid,not,to,give,me,ani,email,notif,the,whole,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,soon,as,i,get,back,home,",",i,ll,be,readi,to,go,back,to,campus,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,whole,class,fail,the,physic,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bout,to,be,anoth,great,day,!,!, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noth,that,infuri,me,more,than,pervert,",",i,hope,this,man,get,his,head,bash,in,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,wish,there,was,a,forev,21,where,i,live,:(,...,or,that,i,had,a,visa,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,work,the,rest,of,the,week,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,love,how,i,type,"""",ch,"""",and,the,first,thing,that,come,up,is,"""",chupacabra,"""",lol,  ,(,i,realli,do,believ,in,him,),:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,think,he,so,in,luv,",",he,in,luv,wit,a,slut,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,guess,i,should,be,thank,i,even,have,a,job,but,not,be,abl,to,eat,with,my,famili,doe,n't,make,me,thank,for,anyth,:/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,saw,the,jersey,shore,season,5,preview,.,has,deena,alway,look,this,much,like,a,troll,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,'m,bore,alreadi,and,have,n't,even,got,out,of,bed,yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,feel,like,my,hair,get,shorter,",",mayb,it,becaus,i,rash,about,short,hair,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr,.,mayo,make,my,cream,o,casserol,crave,so,satiat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleep,depriv,....,the,cram,to,get,everyth,done,for,final,next,week,start,now,....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,did,n't,grow,up,as,i,should,you,(,heigh,),the,wors,:,i,know,is,all,my,fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best,thing,on,tv,at,the,moment,;, ,lion,lose,to,green,bay, ,at,least,some,peopl,i,know,will,be,quiet,this,weekend,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,...,see,the,spark,of,a,new,idea,in,someon,'s,eye,.,everi,new,idea,could,be,the,trigger,that,make,someth,better,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,wanna,go,back,to,bedd,):,or,atleast,sleep,in,tomorrow,.,but,i,ca,n't,bc,i,have,practic,at,8,i,the,morn,!,?,!,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kinda,ruin,your,day,when,you,check,twitter,and,you,have,one,less,follow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
was,n't,it,great,when,you,found,unplay,credit,on,your,favorit,arcad,game,?,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,tire,..,get,readi,then,off,to,grandma,hous,!,i,wish,i,had,money,to,shop,tonight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
off,to,work,i,go,....,...,but,hey,",",it,the,weekend,:-),<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that,moment,of,pure,when,you,stick,your,hand,under,your,desk,and,you,touch,someon,els,’s,old,gum,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,done,some,homework,...,now,of,to,the,gym,and,i,m,return,to,homework,and,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,'s,the,first,sunday,of,advent,.,as,i,do,everi,year,",",i,will,be,post,an, ,task,everi,day,this,month,.,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sit,in,on,my,train,session,on,the,new,aido,platform,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,ca,n't,help,but,to,think,tia's--->(melani,off,the,game,),pregnanc,is,the,onli,reason,the,game,'s,season,wo,n't,begin,in,januari,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
welp,",",my,fuck,day,start,out,great,!,-______-,hope,work,will,cheer,me,up,., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,log,into,a,bogus,googl,email,account,i,have,(,for,login,purpos,),.,stagger,at,how,much,they,know,/,have,assimil,about,me,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyday,i,see,someon,get,their,accept,letter,and,i,die,a,littl,insid,becaus,i,have,nt,gotten,mine,yet,):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive,a,convert,in,the,rain,is,such,a,depress,thing,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
off,to,the,barbar,match,at,twicker,today,!,mean,into,lab,at,6,am,to,get,shit,sort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mango,face,mask,on,...,let,the,pamper,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,that,though,i,will,be,disappoint,by,mani,throughout,my,lifetim,",",christ,is,alway,faith,and,alway,keep,his,promis,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,to,write,a,2,page,essay,on,somethin,that,happend,3,thousand,year,ago,and,do,math,home,work,by,tonight,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that,moment,when,u'r,in,a,public,transport,and,ur,mp3,player,is,n't,function,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip,workout,to,groceri,shop,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,blog,about,advent,calendar,i,ca,nt,believ,i,do,n't,even,have,one,:(,i,guess,i,'m,go,to,have,a,cake,bite,a,day,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,'s,call,matur,and,grow,told,my,dad,that,i,forgav,him,for,everyth,he,did,to,me,in,the,past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,'m,pretti,sure,that,our,play,director,are,n't,even,pay,attent,to,us,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,got,my,fortun,told,.,i,'m,gon,na,marri,a,slight,over,weight,man,with,blond,messi,hair,and,a,braid,beard,:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rage,quit,.,curs,you,",",ipod,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,i,'m,done,for,real,onli,30,%,of,nigga,circumcis,anyway,!,!,dick,be,hard,and,still,got,saggi,skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,that,i,have,to,go,to,the,job,centr,whilst,in,agoni,with,my,neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,have,to,pray,and,apolog,to,god,for,get,so,angri,......,is,anoth,thing,i,have,to,work,on,and,pray,about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,movi,adjus,bureau,is,crazi,...,dude,goin,fool,and,he,ai,nt,even,tast,the,smack,",",smh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,2,mile,in,the,morn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,love,give,gift,to,other,least,i,can,do,after,all,my,famili,doe,for,me,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omg,!,!,!,!,learn,how,to,drive,!,you'r,49,year,old,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sit,in,my,room,eat,cool,whip,:,p,...,go,to,see,the,fan,later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for,some,reason,nap,make,my,eye,swell,up,.,i,got,ta,fight,the,urg,to,nap,now,:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,the,first,year,i,wo,n't,be,a,crazi,on,black,friday,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,i,spent,15minut,get,readi,and,15,rant,about,my,brother,eat,my,advent,calend,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pictur,this,dark,skin,fat,guy,w|,a,bright,ass,purpl,shirt, ,",",bright,yellow,pant,and,some,bright,ass,purpl,shoe,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
math,question,and,a,scienc,all,due,tomorrow,which,i,have,n't,start,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david,ich,in,3,day,.,amsterdam,",",tomorrow,:'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,said,bye,to,my,girl,.,i,wo,n't,see,them,until,next,august,after,spend,3,month,as,their,mentor,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,i,ve,seen,today,were,sick,cri,peopl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,if,my,tear,hold,valu,then,i,would,drop,one,for,everi,singl,thing,he,show,us,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,am,so,glad,that,i,'m,final,stand,on,indonesian,land,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wahhhhh,!,left,substitut,phone,charger,at,work,and,my,real,charger,is,broken,!,my,phone,is,dead,so,no,phone,til,tomorrow,!,=,(,(,(,(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
math,exam,",",busi,studi,exam,",",english,exam,and,a,scienc,exam,this,week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,feel,like,punch,my,boss,face,...,a,few,time,",",then,choke,her,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do,n't,you,love,the,feel,you,get,when,you,realiz,you,lost,a,follow,on,twitter,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factor,is,back,tomorrow,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugh,!,i.,left,.,my,.,favorit,.,plastic,.,headband,.,at,the,field,!,>:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,hate,know,we,are,split,apart<\3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take,my,crown,to,the,grave,i,m,an,underground,queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,wanna,take,a,nap,but,i,cnt,:-(,s,/,n, ,babi,",",have,a,wonder,day,and,dnt,let,anyon,steal,yur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,pop,bottl,cuz,i,bottl,my,emot,!,....,pleas,do,n't,be,scare,of,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ion,get,it,?,what,satifisc,do,you,get,out,of,tell,everyon,your,pregnant,",",when,your,not,?,?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,song,play,when,mark,walberg,bang,rees,whitherspoon,on,the,roller,coaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two,hour,of,work,to,look,forward,to,on,my,day,off,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
god,is,my,rock,and,fortress,and,strong,tower,., ,he,chang,my,life,forev,with,a,singl,prayer,.,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slept,from,like,6:30,to,now,",",so,i,prolli,wo,nt,be,sleep,tonight,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enjoy,this,day,beauti,world,and,planet,earth,'s,wonder,peopl,!,!,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinner,with,rob,famili,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,out,of,2,day,work,and,i,ve,had,custom,shout,and,swear,at,me,..,onli,6,more,day,of,work,to,go,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
want,to,go,on,x,factor,and,sing,hound,dog,.,on,anoth,note,",",pinterest,need,to,sort,itself,out,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that,feel,when,you,know,your,slackin,hard,bodi,on,a,shorti,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah,shit,",",music,exam,in,less,than,2,hour,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,station,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do,nt,you,love,croud,train,full,of,year,9s,-_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friday,=,grumpi,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christma,shop,with,my,aunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
