t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
technique realized creating pain order obligation feeling pressured,3,0.25,0,0,0,0,0.125,0,0.125
feel reluctant seeking help think read delved learning things wouldn t predicament,3,0.375,0,0,0,0,0,0,0
feel little shaken right,3,0.125,0,0,0,0,0,0,0
worked hard past constant sense self loathing scary conjure thoughts feelings relive darkness threatened swallow,3,0.469,0,0,0,0,0.067,0.133,0.2
certainly feeling somewhat apprehensive coming spark friends counted counted given nod web site,3,0.406,0,0,0,0.077,0,0,0.077
think s annoying mothers day non holiday holidays opportunity present feel pressured nt want,3,0.438,0,0.143,0,0.214,0,0.071,0
saying afraid feel frightened telling greatest love know postpone change postpone fusion,3,0.375,0,0,0,0.083,0.083,0,0.167
discussed hanging said yes feel uncomfortable nt stand way hanging,3,0.312,0,0,0,0,0.2,0.2,0.2
feel doubtful person sincerity rebuilding relationship,3,0.188,0,0,0,0.167,0,0,0
feel shaken seeing,3,0.094,0,0,0,0,0,0,0
feeling apprehensive possibly happen day,3,0.156,0,0.2,0,0,0,0,0.2
sakamotos skewed lies central governor great steampunk participatory mood kept basement feeling like paranoid secret center operations children illicitly discovered,3,0.625,0,0,0,0.1,0.05,0,0.05
fear feel constantly suspicious people like,3,0.188,0,0,0,0.167,0.167,0.167,0.167
feel miles apart world uptight,3,0.156,0,0,0,0,0,0,0
continue harmonize song feeling uncertain s position community feeling s autonomy life contingent dominant forces exercising power shutting song closing book,3,0.656,0,0,0,0.143,0,0.048,0.095
feel fearful thoughts silence privacy helpful medications use appearance person extreme danger years therapist set attack required positivity wonderful complement situation,3,0.656,0,0.048,0,0.143,0.143,0.095,0.143
understand feel unsure lost right know ve,3,0.219,0,0,0,0,0.143,0,0
feel nt approve way criticism way wo nt feel threatened wo nt progress argument,3,0.438,0,0,0,0,0,0.214,0.071
feel unsure people think pain feeling unsure react people start cry result challenges internally facing,3,0.469,0,0,0,0,0.133,0,0.067
turn feeling little apprehensive,3,0.125,0,0,0,0,0,0,0.25
ve taking relatively seriously feel shaken like situation longer student attitude problem life death,3,0.438,0,0,0,0.071,0.071,0.071,0.071
feeling shaky optimism,3,0.094,0,0,0,0.333,0,0,0
know s dad uncles ogle brothers makes feel uncomfortable,3,0.281,0,0,0,0.111,0,0,0
didn t feel assaulted mind film s visuals special effects rate,3,0.344,0,0,0,0.091,0,0.091,0.091
left yesterday feeling overwhelmed motivated lo behold got bit,3,0.281,0,0.111,0,0,0.111,0,0
patted told uniform didn t feel apprehensive,3,0.219,0,0,0,0,0,0,0.143
feeling agitated turn events wonder democratic majority houses yak yak yak yak,3,0.375,0,0,0,0.083,0,0.083,0
day,3,0.031,0,0,0,0,0,0,0
don t feel physically uncomfortable laying sitting,3,0.219,0,0,0,0,0,0,0
feel easily threatened men big muscular good body hair lot poor beard growth bald chest,3,0.469,0,0,0,0.067,0,0.067,0.067
barely remember vague memory feeling fairly doubtful actually true story,3,0.312,0,0,0,0,0.1,0,0
believed guilty pleasures feel somewhat paranoid enthusiasm stuff kind makes cringe,3,0.344,0,0,0,0.273,0.182,0.091,0.182
wear glasses feel timid like nt,3,0.188,0,0,0,0.167,0,0,0
m feeling pretty wimpy moment,3,0.156,0,0,0,0,0,0,0
feel terrified better feeling dead inside,3,0.188,0,0,0,0,0.167,0.167,0.333
feel like m terrified step job knowing security student fall,3,0.312,0,0,0,0.1,0,0,0.1
went eye doctor told eyes getting dry contacts feeling little uncomfortable days wear,3,0.406,0,0.077,0,0,0,0,0
feel doubtful learned,3,0.094,0,0,0,0,0,0,0
feel like m tortured like years ago,3,0.219,0,0.143,0,0.286,0.143,0.143,0.143
feeling uncomfortable wants worse,3,0.125,0,0,0,0,0,0,0
feel scared norm trendy acceptable,3,0.156,0,0,0,0,0,0.2,0.2
tend feel bit neurotic times think possibly bipolar addition laundry list mental issues,3,0.406,0,0,0,0,0,0,0.077
pay big price lose going cut feeling suspicious time,3,0.281,0,0,0,0,0.111,0,0
feel helpless,3,0.062,0,0,0,0,0.5,0,0.5
m sure feel vulnerable,3,0.125,0,0,0,0,0,0,0.25
m feeling restless,3,0.094,0,0,0,0,0,0,0
hit hubby today anger veins making feel restless shout offensive baby feel bad,3,0.406,0,0.077,0,0.077,0,0.385,0.077
sure went know feeling confused,3,0.156,0,0,0,0,0,0,0
nt know feel skeptical thing,3,0.156,0,0,0,0,0,0,0
think feel equally terrified inspired belief exists vaster grander vistas mind comprehend celestial vistas ignore cliches term,3,0.531,0,0,0,0.118,0,0,0.059
feel afraid things,3,0.094,0,0,0,0,0,0,0.333
thought activist wannabe feel like don t appear agitated determined committed,3,0.344,0,0,0,0.091,0,0.091,0
nt know feeling ton effort wo nt appreciate wonder m reluctant,3,0.344,0,0,0,0.182,0,0,0
excited time feeling little apprehensive lies ahead,3,0.219,0,0,0,0.143,0.143,0,0.143
confident carefree easygoing transitioned grew began feeling unsure confident eventually totally lost,3,0.375,0,0,0,0.25,0.083,0,0
question feels maybe m insecure person,3,0.188,0,0,0,0,0.167,0,0
walked classroom feeling shy nervous teacher mr,3,0.219,0,0,0,0,0,0,0.143
d hear crying room feel distressed d remember words emily come alive,3,0.375,0,0,0,0.083,0.167,0,0.083
know feels helpless kiss cuddle hug morning love night,3,0.281,0,0.222,0,0.444,0.111,0,0.111
feel frightened sorry years going youth,3,0.188,0,0.167,0,0,0.167,0,0.167
feel little hesitant kelly basically left final choices color,3,0.281,0,0.111,0,0,0,0,0
feel like people immediately skeptical like thinking true,3,0.25,0,0,0,0.25,0,0,0
feel reluctant walk,3,0.094,0,0,0,0,0,0,0
nt want feel peer pressured handmade christmas s kind pressure thrown women drives little nutters,3,0.469,0,0.067,0,0.133,0,0,0
feeling bit insecure getting ring especially tremendous indy wrestlers ring,3,0.312,0,0,0,0,0.1,0,0
ve texas half year times feel stranger strange land,3,0.281,0,0.111,0,0,0,0,0
grumpy feel helpless feel like things looking bit bleak,3,0.281,0,0,0,0.111,0.222,0,0.111
feel confused,3,0.062,0,0,0,0,0,0,0
wrong feeling apprehensive insecure,3,0.125,0,0,0,0,0.25,0,0.25
feel helpless watch town,3,0.125,0,0,0,0,0.25,0,0.25
having luggage checked customs,3,0.125,0,0,0,0,0,0,0
wanna feel terrified want stomach plagued butterflies,3,0.219,0,0,0,0,0.143,0,0.286
drank cup coffee feel nervous weird,3,0.188,0,0,0,0,0,0,0.167
feeling little intimidated yesterday gave break st,3,0.219,0,0.143,0,0,0,0.143,0.143
feel experience answer questions skeptical product,3,0.188,0,0,0,0,0,0,0
feeling bit doubtful lately,3,0.125,0,0,0,0,0,0,0
wonder trio feel left threatened consideration,3,0.188,0,0,0,0.167,0,0.167,0.167
feel feel bit apprehensive,3,0.125,0,0,0,0,0,0,0.25
started dawdle downtown st james centre nt feel frantic glasgow,3,0.312,0,0.1,0,0,0,0,0.1
think s reach feel suspicious,3,0.156,0,0,0,0,0,0,0
woke fear feeling threatened neighbors,3,0.156,0,0,0,0,0.2,0.4,0.4
children old cook meals wanted playful experience feel intimidated kitchen,3,0.312,0,0,0,0.1,0,0.1,0.1
know feel helm ship course uncertain direction heading feel impending mutiny backs,3,0.375,0,0,0,0,0,0.083,0.167
feel strongly makes people afraid,3,0.156,0,0,0,0,0,0,0.2
feel unsure friendship means s obvious issue,3,0.219,0,0,0,0.143,0,0,0
having dinner older women feeling restless got middle meal went,3,0.312,0,0,0,0,0,0,0
ve asked feeling awfully nervous,3,0.156,0,0,0,0,0.2,0,0.4
nt hear vaguely smell sulfur time turn face way feel terrified briefly,3,0.375,0,0,0,0,0,0,0.083
mean feeling heart got uptight teenage son day,3,0.25,0,0,0,0.125,0,0,0
friend offended classmate unintenionally wanted apologize decided visit knew stubborn frightened rang door bell,3,0.438,0,0,0,0.071,0.143,0.071,0.143
grow like feel uncomfortable began empathise want carry reading read sequel,3,0.344,0,0,0,0.091,0,0,0
feel threatened weird reason succeed,3,0.156,0,0,0,0.2,0,0.2,0.2
feel helpless face,3,0.094,0,0,0,0,0.333,0,0.333
distinct feeling viridiana psychologically tortured uncle eventually homeless people trying help,3,0.344,0,0,0,0,0.182,0.091,0.182
feel overwhelmed life going want cry,3,0.188,0,0,0,0,0.333,0,0
feel overwhelmed sad troubled gods got s got,3,0.25,0,0,0,0.125,0.25,0,0
feel uncomfortable spinning,3,0.094,0,0,0,0,0,0,0
drowse times woke spoke anesthetist times remember amazing experience time feel frightened,3,0.375,0,0,0,0.083,0.083,0,0.083
daughter m scared press hard respect fellow humans right privacy walk freely feeling cat called intimidated,3,0.5,0,0,0,0.188,0,0.125,0.125
try act certain different fact remains felt particular way long time dialogue discipline shape true feelings confused complicated came end,3,0.625,0,0,0,0,0.05,0,0
m mad stopping m sad maybe s right emotion express feel scared stop,3,0.406,0,0,0,0,0.154,0.154,0.154
feel afraid,3,0.062,0,0,0,0,0,0,0.5
feel terrified,3,0.062,0,0,0,0,0,0,0.5
afraid shock feel uncomfortable,3,0.125,0,0,0,0,0,0,0.5
tried stay piyo class nt eaten today starting feel shaky,3,0.312,0,0.1,0,0,0,0,0
feel uncomfortable m dressed,3,0.125,0,0,0,0,0,0,0
experiencing agony uncertainty usually directly linked baby artist feeling frightened insecure,3,0.344,0,0,0,0.091,0.273,0,0.182
feel unsure life going,3,0.125,0,0,0,0,0,0,0
feel vulnerable yesterday nt felt strong sense self worth maybe according brown better accepting vulnerable imperfect aspects,3,0.531,0,0.059,0,0,0,0,0.118
feel agitated,3,0.062,0,0,0,0,0,0.5,0
feel uncomfortable,3,0.062,0,0,0,0,0,0,0
know people choose think stay m stand offish feel place feel afraid hurt difficulties experienced life,3,0.5,0,0,0,0,0.125,0.062,0.125
feel near time wish tortured hug today,3,0.219,0,0.143,0,0.143,0.143,0.143,0.143
checked checked s going inside mind feeling got reluctant write comment,3,0.344,0,0,0,0,0,0,0
started feeling scared went hold mithran ex husband suddenly grabbed ran,3,0.344,0,0,0,0,0,0.182,0.091
don t know s exhaustion kids endless wild energy feeling little overwhelmed right,3,0.406,0,0,0,0.077,0.077,0,0
said feeling bashful,3,0.094,0,0,0,0,0,0,0
find god s presence feel scared lonely sad feel presence m happy like m rewarded god feel thankful,3,0.562,0,0,0,0.333,0.111,0.056,0.056
feeling things god calling little nervous guys think pray direction confirmation future great,3,0.406,0,0,0,0.154,0,0,0.077
feel uncertain place m feel supervising eyes glance sure m ok,3,0.344,0,0,0,0,0,0,0
ve feeling little skeptical print media field journalism,3,0.25,0,0,0,0,0,0,0
feel distressed creatively feel wonderful psychologically,3,0.188,0,0,0,0.167,0.167,0,0.167
got little teary eyed looking table feeling startled grown girls seeing diane friend forever watch turn babies women,3,0.562,0,0.056,0,0.111,0.056,0,0
taciturn feelings timid speak,3,0.125,0,0,0,0,0,0,0
feel like m toyed nt think intention think s indecisive nt want loose attention feels nice person interested,3,0.562,0,0,0,0.056,0,0,0
finished sandwich halfway iced tea stomach started feel weird,3,0.281,0,0,0,0,0,0,0
feel reluctant single shite,3,0.125,0,0,0,0,0,0,0
feel like feel uncomfortable,3,0.125,0,0,0,0.25,0,0,0
feel helpless car cash,3,0.125,0,0,0,0,0.25,0,0.25
hand save plus general feeling shaken,3,0.188,0,0,0,0,0,0,0
high expectations avoid admitting m having low day m struggling life little bit feel bit unsure lost,3,0.531,0,0.059,0,0,0.059,0,0.059
feel overwhelmed discouraged questioning decisions recognize natural reaction feeling pass,3,0.312,0,0,0,0.1,0.2,0,0
feel like afraid feel like left fear,3,0.219,0,0,0,0.286,0.143,0.143,0.286
left ghouse feeling confused life,3,0.156,0,0,0,0,0,0,0
feeling honestly scared,3,0.094,0,0,0,0,0,0.333,0.333
met lunch day think feeling bit apprehensive,3,0.219,0,0.143,0,0,0,0,0.143
feel uncomfortable thanking traditional owners imagine someones grandparents stole stradivarius violin grandparents,3,0.375,0,0,0,0.083,0,0,0
feel reluctant reasons,3,0.094,0,0,0,0,0,0,0
learned lot little project feeling intimidated diy project,3,0.25,0,0,0,0,0,0.125,0.125
feel like s hesitant accept care,3,0.188,0,0,0,0.167,0,0,0
ve reading ice baths running blogs follow feels like forever shaken idea taking totally crazy d,3,0.5,0,0,0,0.062,0,0.062,0.062
feel weird trying workout home nt leave company workout,3,0.281,0,0,0,0.111,0,0,0
feel uncomfortable know people studying look m acting,3,0.25,0,0,0,0,0,0,0
feeling strange wighnomy brothers metawuffmischfelge released time,3,0.219,0,0,0,0.143,0,0,0
feel overwhelmed things normal find depletion joy heart,3,0.25,0,0,0,0.125,0.125,0,0
ill feeling helpless,3,0.094,0,0,0,0,0.667,0,0.667
feel intimidated,3,0.062,0,0,0,0,0,0.5,0.5
m feeling overwhelmed feel crank ipod drive life slows appreciate world live,3,0.375,0,0,0,0.083,0.083,0,0
feel exhilaration process terrified,3,0.125,0,0,0,0.25,0,0,0.25
think s time x icons feel weird lol hm,3,0.281,0,0,0,0,0,0,0
find look things way deal situation better feel agitated,3,0.281,0,0,0,0,0,0.111,0
feeling anxious excited coming surgery th november,3,0.219,0,0.143,0,0.143,0,0,0.286
hoped didn t feel shiver ran maybe startled pulled away,3,0.312,0,0,0,0.1,0,0,0
feel bit fearful future,3,0.125,0,0,0,0,0.25,0.25,0.25
feel character distressed items,3,0.125,0,0,0,0,0.25,0,0.25
feel terrified willing disappear face earth simply m afraid gift landing particular evening,3,0.406,0,0,0,0.077,0,0,0.154
m feeling bit apprehensive hubs flying sunday coming month,3,0.281,0,0.111,0,0,0,0,0.111
bewildered fact felt pressured makes lot people feel uncomfortable surprised audacity fake,3,0.375,0,0,0,0.083,0,0,0
feel shaky times feel excited leaping bounding opportunities schooling,3,0.281,0,0,0,0.111,0,0,0
waiting god know feel shaky un ease stay breakthrough,3,0.281,0,0,0,0.111,0,0,0
know person reads blog feel bit hesitant write alot personal stuff knows reading,3,0.406,0,0,0,0,0,0,0
feel timid wearing beacuse d try dirty etc,3,0.25,0,0,0,0,0,0,0
writer professional freelancer feel agitated happenings jammu forced write,3,0.281,0,0.111,0,0,0,0.111,0.111
schedule follow everyday gets interrupted feel distressed,3,0.219,0,0,0,0,0.143,0,0.143
couldn t heal seal yamato didn t feel like getting tortured felt like going flop undignified manner,3,0.531,0,0,0,0.118,0.059,0.059,0.059
help recent affliction feel distressed nonetheless,3,0.188,0,0,0,0,0.333,0,0.333
began feel strange like faint,3,0.156,0,0,0,0.2,0,0,0
need eat probably feeling emotionally distraught,3,0.188,0,0,0,0,0.167,0,0
spent lot time thinking feeling confused earth writing wonderful incredibly hard thing called parent,3,0.438,0,0,0,0.071,0,0,0
feeling unsure m feeling confident,3,0.156,0,0,0,0.2,0,0,0
feel doubtful today,3,0.094,0,0.333,0,0,0,0,0
feel nervous half marathon sure complete run end walking pass finishing line,3,0.375,0,0.083,0,0.083,0,0,0.083
feel doubtful nt feel like going,3,0.188,0,0,0,0.167,0,0,0
remember day woke tube throat feeling like suffocated terrified waking man,3,0.344,0,0.091,0,0.091,0.091,0.091,0.182
know feel uncertain m hiding furtive,3,0.188,0,0,0,0,0,0,0.167
feel distressed time car wound,3,0.156,0,0,0,0,0.4,0.2,0.4
feel frightened,3,0.062,0,0,0,0,0.5,0,0.5
incredible feeling frantic despair,3,0.125,0,0,0,0,0.25,0,0.5
feel fearful,3,0.062,0,0,0,0,0.5,0.5,0.5
feeling startled anger surprised crossed face disappeared,3,0.219,0,0,0,0.143,0,0.286,0
explained stranged phobeas fact feel completaly underly unprotected home attacker lives roof,3,0.375,0,0,0,0.083,0.083,0.083,0.083
expecting blown away force think m feeling tad shy satisfied blown away,3,0.375,0,0,0,0.083,0,0,0.083
wish nt shy tell feelings terrified tell feel want,3,0.281,0,0,0,0,0,0,0.111
feel love faith love learning love going church terrified classified bible thumper,3,0.375,0,0,0,0.333,0,0,0.083
mention economy s way feel pretty helpless vulnerable forces way control,3,0.344,0,0,0,0,0.091,0,0.273
feel strange responsibility,3,0.094,0,0,0,0,0,0,0
wide awake feeling bit anxious,3,0.156,0,0,0,0,0,0,0.2
m starting feel reluctant pitching tent find thinking large pavilion gated group campground,3,0.406,0,0,0,0,0,0,0
feel nervous good,3,0.094,0,0,0,0.333,0,0,0.333
felt secure solid sense knkowing sense invulnerability feel m uncertain reaction things going,3,0.406,0,0,0,0,0,0,0
feel insecure body,3,0.094,0,0,0,0,0.333,0,0
know big decisions feel terrified life changed sudden mental illnesses d having hard time adjusting taking account wonder manage ape shit crazy,3,0.688,0,0,0,0.045,0.045,0.091,0.136
sincerely feel frantic brewing finishing megans manicure,3,0.219,0,0,0,0,0,0,0.143
feel tortured spanish,3,0.094,0,0,0,0,0.333,0.333,0.333
started feeling nervous,3,0.094,0,0,0,0,0,0,0.333
feel like m kid guys m unprotected guys kind nice,3,0.312,0,0,0,0.3,0,0,0
feel insecure simplicity bring mind,3,0.156,0,0,0,0,0.2,0,0
feel little reluctant return,3,0.125,0,0,0,0,0,0,0
know trying encourage s letter gives feeling s hesitant hesitation fear ll s gone comes,3,0.469,0,0,0,0.067,0.067,0.067,0.067
read wonderful quote long past includes taught feel indecisive result worries,3,0.344,0,0,0,0.091,0.182,0,0.091
feel doubtful,3,0.062,0,0,0,0,0,0,0
talk country issues feel helpless,3,0.156,0,0,0,0,0.2,0,0.2
feel nt afraid,3,0.094,0,0,0,0,0,0,0.333
feel afraid quit need confrontation hate confrontations,3,0.219,0,0,0,0,0.143,0.429,0.286
m completely sure nt makes feel terrified,3,0.219,0,0,0,0.143,0,0,0.143
feel distressed,3,0.062,0,0,0,0,0.5,0,0.5
m thankful finally let feelings feeling scared finally realised ve walking big circle search actually walking big circle,3,0.562,0,0,0,0.056,0,0.056,0.056
feel like m distressed damsel room,3,0.188,0,0,0,0.167,0.167,0,0.167
usually find need protein body feeling shaky weak,3,0.25,0,0,0,0,0.125,0,0
m feeling feel anxious,3,0.125,0,0,0,0,0,0,0.25
feel uptight nervous self conscious,3,0.156,0,0,0,0,0,0,0.2
wanna hippie forgot love hard garbage man sailor stole gloves wanna reckless m feeling uptight mama headlock baby right s got crack,3,0.688,0,0,0,0.091,0,0.045,0
stuck mode feeling bit hesitant,3,0.156,0,0,0,0,0,0,0
feel like terrified m,3,0.125,0,0,0,0.25,0,0,0.25
feeling uptight things aren t going way want tend step break,3,0.344,0,0,0,0,0,0,0
m feeling shaken events friday night nt able sleep properly past couple nights severely horrible nightmares ve having,3,0.562,0,0.111,0,0,0,0.056,0.111
feeling intimidated,3,0.062,0,0,0,0,0,0.5,0.5
hopped swim feeling little shaky quickly transition hopped bike,3,0.281,0,0,0,0,0,0,0
feel reluctant immediately find work save money start planning living,3,0.312,0,0,0,0.1,0,0,0
feel bit weird title,3,0.125,0,0,0,0,0,0,0
feel uncertain creative abilities,3,0.125,0,0,0,0,0,0,0
feel agitated sitting,3,0.094,0,0,0,0,0,0.333,0
feel unsure,3,0.062,0,0,0,0,0,0,0
sat reading edens post africa m feeling genuinely frightened,3,0.281,0,0,0,0,0.111,0,0.111
left shop feeling distraught,3,0.125,0,0,0,0,0.25,0,0
didn t feel scared said changes,3,0.188,0,0,0,0,0,0.167,0.167
wish discipline sit write m feeling moment moment tendency neurotic analyze wording sentence structure handwriting,3,0.469,0,0,0,0,0,0,0.067
nt want talk nt kids hate feeling pressured bringing defend choice pregnant moment,3,0.406,0,0,0,0.077,0.077,0.077,0.077
learning control feet run away feel startled,3,0.219,0,0,0,0,0,0,0
ve feeling restless yearning reach,3,0.156,0,0,0,0,0,0,0
recall going comfort feeling afraid father shy hit accepted logic taught boys got hit hit kick girls playing hitting game,3,0.625,0,0,0,0.1,0,0.25,0.05
hope end book feel fearful future walter thirsk feel hopeful,3,0.312,0,0,0,0.2,0.1,0.1,0.1
know dreams t afford slow start day m feeling anxious,3,0.312,0,0.1,0,0.1,0,0,0.1
started feeling anxious meet baby,3,0.156,0,0,0,0.2,0,0,0.2
feel distraught emotionally,3,0.094,0,0,0,0,0.333,0,0
feel apprehensive ready birth,3,0.125,0,0,0,0,0,0,0.25
time feeling terrified panicky big sale web venues presents makes feel like sign need deep breath stop worrying,3,0.562,0,0,0,0.111,0.056,0,0.111
currently feel distressed thiings school loans,3,0.188,0,0,0,0,0.167,0,0.167
feel pressured feel certain way supposed holiday cheer gets shoved throats m feeling feel like everybody holiday spirit s wrong,3,0.625,0,0,0,0.25,0,0.05,0
asked feeling slightly wimpy,3,0.125,0,0,0,0,0,0,0
admit think long road ahead feel bit hesitant,3,0.25,0,0,0,0,0.125,0,0
t feel thing frantic behavior elena putting forth needle arm,3,0.312,0,0,0,0,0,0.1,0.3
tried draw attention blamed eye surgery thing need feeling uncertain away,3,0.344,0,0,0,0,0,0,0.091
hunger jesus disciples feel shaken core,3,0.188,0,0,0,0.167,0,0,0
feeling reluctant overwhelmed try think alternative abandoning dream,3,0.25,0,0,0,0.125,0.25,0,0.125
m feeling pressured stressed inadequate,3,0.156,0,0,0,0,0,0,0.2
realized s way anorexia right need recover need gain weight feel uncomfortable,3,0.375,0,0,0,0,0,0,0
feel pressured,3,0.062,0,0,0,0,0,0,0
began feel darkness scared felt nt hand face,3,0.25,0,0,0,0,0.125,0.125,0.25
don t feel frantic,3,0.125,0,0,0,0,0,0,0.25
feel like people intimidated blog,3,0.156,0,0,0,0.2,0,0.2,0.2
feeling little overwhelmed reading,3,0.125,0,0,0,0,0.25,0,0
involved tale good verses evil want feel afraid dark certain extant,3,0.344,0,0,0,0.091,0.182,0.091,0.273
want people laugh whilst watching feel little suspicious happen,3,0.281,0,0,0,0.111,0,0,0
know ve feeling strange know big things happened years assure don t compare s happened,3,0.469,0,0.067,0,0,0,0,0
tell feel scared disgusted push hard,3,0.188,0,0,0,0,0.167,0.333,0.167
find feeling skeptical,3,0.094,0,0,0,0,0,0,0
feeling skeptical painting felt time try,3,0.188,0,0,0,0,0,0,0
feel reluctant write people saw reduced oh s bad,3,0.281,0,0,0,0,0,0.111,0.111
feel strange update blog,3,0.125,0,0,0,0,0,0,0
awoke feeling confused remembering sexual dream dr c,3,0.25,0,0,0,0.125,0,0,0
m feeling apprehensive morning going life minnesota,3,0.219,0,0.143,0,0,0,0,0.143
constantly selflessly ignore fact matter try d disappointed end feeling hesitant round,3,0.375,0,0,0,0,0.083,0,0
nt breathe nose m feeling extremely distressed like bad happen,3,0.312,0,0,0,0.1,0.1,0.1,0.2
feel reluctant end journey,3,0.125,0,0,0,0,0,0,0
feel reluctant talk rand figures evokes strong response,3,0.25,0,0,0,0,0,0,0
woke feeling nervous control managed pretty,3,0.188,0,0,0,0,0,0,0.167
longer feel restless feel like explore,3,0.188,0,0,0,0.167,0,0,0
reading web site condition treatments nt help feel reluctant needle inject gas eyeball,3,0.406,0,0,0,0,0,0,0.154
drink cup coffee feel jitteriness hold nervous system swear time,3,0.312,0,0,0,0,0,0,0.1
feel purposefully tortured,3,0.094,0,0,0,0,0.333,0.333,0.333
feel paranoid stares hair,3,0.125,0,0,0,0,0,0,0.25
feel highly suspicious unduly surprised land registry unable produce claimed authentic copy survey plans destroyed,3,0.469,0,0,0,0.067,0.067,0.067,0.067
frequently feel paranoid thing heading blow job romantic relationship,3,0.281,0,0,0,0.222,0,0,0.111
explain felt way asked gentle silvery light moon sat twikling stars gave feeling safety anxious longing tugging soul,3,0.562,0,0,0,0.056,0.056,0,0.056
feel shaken scared,3,0.094,0,0,0,0,0,0.333,0.333
know work feel overwhelmed,3,0.125,0,0,0,0,0.25,0,0
feel like program discussed reluctant readers length different classes glad especially documents difficult prepared informed issue,3,0.5,0,0,0,0.125,0,0,0
hi feel like hell know like maybe flirting m planning paranoid sudden,3,0.375,0,0,0,0.25,0.083,0.083,0.167
m feeling unsure style fed wardrobe confused weather s today reach denim suddenly,3,0.406,0,0.077,0,0,0,0,0
feel like thing m nervous having kids,3,0.219,0,0,0,0.286,0,0,0.143
battled day work feeling uncomfortable achey needing pee minutes remember thinking selfishly months unbearable,3,0.438,0,0.143,0,0,0.143,0.071,0.071
big week coming m feeling little nervous,3,0.219,0,0.143,0,0,0,0,0.143
nt thankful thing facebook feel completely overwhelmed blessings year,3,0.281,0,0.111,0,0.333,0.111,0,0
m feeling emotionally distressed stressed physically weather enjoy organic aromatherapy soothe woes lift spirits,3,0.438,0,0,0,0.214,0.143,0,0.143
sort want scan early drawings feel shy showing personal online,3,0.312,0,0,0,0,0,0,0
m feeling little shaky lots numbness tingles legs hurt,3,0.281,0,0,0,0,0.111,0.111,0.111
know long answer hope helps don t feel shaken maybe s ready relationship maybe s better,3,0.5,0,0,0,0.125,0.062,0,0
feel inhibited certain d feel awkward weird walk away feeling like total idiot,3,0.406,0,0,0,0.077,0,0.077,0
feeling little anxious,3,0.094,0,0,0,0,0,0,0.333
suppose rash musicians celebrities dying aids time helped people feel frightened worried virus,3,0.406,0,0,0,0.077,0.231,0,0.231
m feeling tad vulnerable lately new people ve met truly knows overall need shell little bit,3,0.5,0,0,0,0,0,0,0.125
worked month new job m starting feel organised confused,3,0.281,0,0.111,0,0,0,0,0
feel terrified going able help children,3,0.188,0,0,0,0,0,0,0.167
feel agitated,3,0.062,0,0,0,0,0,0.5,0
feeling strangely innervated restless,3,0.125,0,0,0,0,0,0,0
m sure like feel little hesitant going shying away project definitely nt helping,3,0.406,0,0,0,0.077,0,0,0
feel fearful nt know going happen course recovering,3,0.25,0,0,0,0,0.125,0.125,0.125
experience left feeling sceptical wrong true,3,0.188,0,0,0,0,0,0,0
wake morning halfway year feeling overwhelmed,3,0.188,0,0.167,0,0,0.167,0,0
ve work months m starting feel little restless,3,0.25,0,0.125,0,0,0,0,0
suppose people feel distraught angry managed run ex makes laugh,3,0.312,0,0,0,0.1,0.1,0.1,0
feel intimidated nervous know god camp going beautiful opportunity grace love,3,0.344,0,0,0,0.364,0,0.091,0.182
counterparts aware impotence nation nation feel reluctant share information sit,3,0.312,0,0,0,0,0.1,0,0.1
got better time started feel shy,3,0.188,0,0,0,0,0,0,0
feel uptight span style webkit text size adjust auto webkit text stroke width px background color white color black display inline,3,0.656,0,0,0,0,0,0,0.048
m feeling mildly indecisive,3,0.125,0,0,0,0,0,0,0
feel weird talking big numbers,3,0.156,0,0,0,0,0,0,0
sit feeling overwhelmed unable unable decision let useful,3,0.25,0,0,0,0,0.125,0,0
nt help feel like mask trying person s shying away m shy right,3,0.406,0,0,0,0.077,0,0,0.077
wanted let know despite blog post m feeling bit weird blogging,3,0.344,0,0,0,0,0,0,0
feel nervous thrilled time know experience life time,3,0.25,0,0,0,0.125,0,0,0.125
feel imspired distressed releif rathe life death impressed depressed know begin,3,0.344,0,0,0,0,0.273,0.091,0.273
m feeling little shaky today hours dancing cheryl cole justin bieber tireless group year olds oh large glasses wine somewhat fault,3,0.656,0,0.143,0,0.048,0,0,0
latched literally lost feeling confused conflicted feelings want don t,3,0.312,0,0,0,0,0.1,0.1,0.1
m feeling distraught,3,0.094,0,0,0,0,0.333,0,0
feeling overwhelmed sad realities life right,3,0.188,0,0,0,0,0.333,0,0
pretty sick talking counsellors moment wouldn t survived feel bit overwhelmed sick hearing appointments week week,3,0.5,0,0.062,0,0,0.188,0,0.125
want polar bears urgency feel uncertain future,3,0.219,0,0,0,0,0,0,0.143
night oclock followed cardriver,3,0.125,0,0.25,0,0,0,0,0
m feeling little shaky ill right,3,0.188,0,0,0,0,0.167,0,0.167
feel incredibly distressed people cared knowing god personal intimate way able experience,3,0.375,0,0,0,0.167,0.083,0,0.083
ve ambivalent friends fence feelings indecisive time honest,3,0.25,0,0,0,0.125,0,0,0
loved sitting mind rate m feeling timid wanting leap dance class,3,0.344,0,0,0,0.182,0,0,0
consious designs people think feel module slightly paranoid started think real issues briefs designs benifit,3,0.469,0,0,0,0,0,0,0.067
