t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
"coraline scary yesterday , puke luckily . ahaa . 1 week 1 day till 14 baby",0,0.198,0.000,0.188,0,0.062,0.000,0.000,0.062
"em . . . got big List today , hubby work weekend going . . . think !",0,0.222,0.000,0.111,4,0.000,0.000,0.000,0.000
"Mom dad coming BG eat , time study life away Tuesday",0,0.136,0.091,0.182,0,0.000,0.000,0.000,0.000
better mood today ! ! Living life . . . Laughing little things !,0,0.173,0.000,0.071,3,0.071,0.000,0.000,0.000
"wind chilling . Got heater . . wish nap baby , studying . . .",0,0.185,0.000,0.000,3,0.067,0.000,0.000,0.000
Waking brother 6:30 airport going mission half .,0,0.099,0.000,0.250,0,0.125,0.000,0.000,0.000
"day Thanksgiving , course , taking Fall decorations outside , putting Christmas decorations .",0,0.173,0.000,0.143,0,0.143,0.000,0.000,0.000
Failed spanish quiz alek,0,0.049,0.000,0.000,0,0.000,0.250,0.000,0.250
look help radiant joy ; shadow shame darken faces . Psalm 34:5 .,0,0.160,0.000,0.077,0,0.077,0.077,0.000,0.077
School . . . haha hope Today fun . post regular updates day . Follow Stay Updated !,0,0.222,0.000,0.056,2,0.111,0.000,0.000,0.000
"Sold bikes faster expected , running sizes . Luckily single speeds ocean ! ETA - EO June .",0,0.222,0.111,0.056,0,0.000,0.000,0.000,0.000
Congratulations Mr . Jay - el Mrs . Maricar Chu ! Wish best world !,0,0.185,0.000,0.200,0,0.000,0.000,0.000,0.000
Endure Night ! cometh morning,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
K going sleep . . lotta work morning . Essay Study -_- Goodnight ♥,0,0.173,0.071,0.071,1,0.000,0.000,0.000,0.000
loyalty day church today,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.000
8 Amelie started Christmas films . . . Jingle Way,0,0.123,0.000,0.300,2,0.200,0.000,0.000,0.000
"Work soooo slow , ready great saturday",0,0.086,0.000,0.143,0,0.143,0.000,0.000,0.000
"History , free night",0,0.049,0.000,0.000,0,0.250,0.000,0.000,0.000
"forget penny , wear school monday",0,0.074,0.000,0.167,0,0.000,0.000,0.000,0.000
"great mood day , feel free high - , know wo nt leave ya hangin !",0,0.198,0.000,0.000,1,0.125,0.000,0.000,0.000
getting ready concert tonight ! YAY !,0,0.086,0.143,0.143,0,0.143,0.000,0.000,0.000
Happiness best achieved seek directly . ~ Bertrand Russell,0,0.111,0.000,0.111,1,0.222,0.000,0.000,0.000
Looking 2 houses Hayward today . moms favorite bright ass green house -_____- hahaha,0,0.173,0.000,0.214,0,0.071,0.000,0.000,0.000
amazinq qirls - niqht - . quess qreat excuse wear tiny dresses heels,0,0.160,0.000,0.000,1,0.000,0.000,0.000,0.000
"everytime try forget , happens remember . . . .",0,0.123,0.000,0.000,3,0.000,0.000,0.000,0.000
productive 5:30am ! ! ! Woohoo busy day lots !,0,0.123,0.000,0.100,2,0.100,0.000,0.000,0.000
Family Members Live Drama,0,0.049,0.000,0.000,0,0.250,0.000,0.000,0.000
! Muhahahaaaa ! maybe Jesse,0,0.062,0.000,0.400,0,0.000,0.000,0.000,0.000
"winding , love having low key day .",0,0.099,0.000,0.000,0,0.125,0.000,0.000,0.000
"Mad miss game night : // , school ? . . .",0,0.148,0.000,0.083,3,0.000,0.167,0.083,0.083
got home dinner . mom said dad bought sony a200k ? holyyyyyyy,0,0.148,0.000,0.000,0,0.083,0.000,0.000,0.000
"Love , laughter , creativity .",0,0.074,0.000,0.000,0,0.333,0.000,0.000,0.000
Earned 6 . 72 pound vending machine pro hustler,0,0.111,0.000,0.222,0,0.000,0.000,0.000,0.111
wait church tomorrow Worshipping Praising sing man helped trouble good times,0,0.136,0.000,0.091,0,0.273,0.000,0.000,0.000
"fave quotes fave quotes : "" , feel like world oyster shuck . """,0,0.173,0.000,0.000,3,0.071,0.000,0.000,0.000
Feeling slightly lightheaded found betting slip wallet actually return ( ewith ) .,0,0.160,0.000,0.000,1,0.000,0.000,0.000,0.000
Lab Final tomorrow .,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.000
Cut work . . normally pissed mucho studying,0,0.099,0.000,0.000,1,0.000,0.000,0.125,0.000
inerne fucked mind pretty sure internet,0,0.074,0.000,0.000,0,0.000,0.000,0.000,0.000
"semester nervous breakdown , right schedule .",0,0.086,0.000,0.000,0,0.000,0.000,0.000,0.143
Hell week started day early,0,0.062,0.000,0.000,0,0.000,0.200,0.200,0.200
awesome find walnuts hoodie pocket .,0,0.074,0.000,0.000,0,0.167,0.000,0.000,0.000
met nerdiest servers chili today lol . . . awesome favorite,0,0.136,0.000,0.091,2,0.182,0.000,0.000,0.000
OMG ! ! hollyoaks dramatic ! ! ! ! ! ! ! ! ! ! ! !,0,0.210,0.059,0.000,12,0.000,0.000,0.000,0.000
Tonight sleep Friday night .,0,0.062,0.000,0.400,0,0.000,0.000,0.000,0.000
"Bank , starbucks , school , library day",0,0.099,0.000,0.125,0,0.000,0.000,0.000,0.000
", lady office today -_- nt work home ?",0,0.111,0.000,0.111,0,0.111,0.000,0.000,0.000
Church morning great .,0,0.049,0.000,0.250,0,0.250,0.000,0.000,0.000
went World Education fair today . different kind circus .,0,0.123,0.000,0.200,0,0.100,0.000,0.000,0.000
missed class ! Ed leniency terrible . love people !,0,0.123,0.000,0.100,0,0.100,0.200,0.100,0.100
way kuya jordan house O sleepover !,0,0.086,0.143,0.000,0,0.000,0.000,0.000,0.000
day stop giving damn ass,0,0.062,0.000,0.000,0,0.000,0.000,0.200,0.000
heat ! ! !,0,0.049,0.000,0.000,2,0.000,0.000,0.250,0.000
found baby cousin gon na dad ! ! ! ! married . Everybody getting married having kids,0,0.210,0.000,0.000,3,0.235,0.000,0.000,0.000
"Today good . Finished design final project , Noodles Cold Stone , looked Christmas lights wrapped gifts .",0,0.222,0.000,0.167,0,0.167,0.000,0.000,0.000
"u moment requires : required life express fully ? "" ♥",0,0.136,0.000,0.000,2,0.000,0.000,0.000,0.000
"Bought start big journey Delaware : Claymont , New Castle Dover .",0,0.148,0.000,0.250,0,0.000,0.000,0.000,0.000
tomorrow gone new home . . . Born single(our little puppy basset hound ),0,0.173,0.000,0.071,2,0.071,0.000,0.000,0.000
Higher Heel Closer God,0,0.049,0.000,0.000,0,0.250,0.000,0.000,0.000
"// end day , cook . cook people .",0,0.111,0.000,0.111,0,0.000,0.000,0.000,0.000
Hoy noche en con los de clase,0,0.086,0.000,0.000,0,0.000,0.000,0.000,0.000
Time 3 hours bullshit,0,0.049,0.000,0.500,0,0.000,0.000,0.000,0.000
Ugh remembered monster test Japanese tomorrow .,0,0.086,0.000,0.286,0,0.000,0.000,0.000,0.143
u doubt God listens ur prayers ask life year . day blessed . tears,0,0.173,0.000,0.071,0,0.143,0.071,0.000,0.000
"Wanna curl stay bed . , softball owns life .",0,0.123,0.000,0.000,1,0.000,0.000,0.000,0.000
Workout good got ta focus ! pacing forth apartment . . . got ta start crapload hw .,0,0.222,0.000,0.056,2,0.056,0.000,0.000,0.000
Today lost,0,0.025,0.000,0.500,0,0.000,0.500,0.000,0.000
Beer pong dubstep . Good nite,0,0.074,0.000,0.000,0,0.167,0.000,0.000,0.000
Sooo readyyy summerr babyyyy ! ! ! ! ! ! ! ! !,0,0.160,0.000,0.000,8,0.000,0.000,0.000,0.000
head north arrive breezy cave . smells sweet . glance watch ; running 15 minutes late .,0,0.210,0.000,0.059,0,0.059,0.000,0.000,0.000
track practice bitt,0,0.037,0.000,0.000,0,0.000,0.000,0.000,0.000
gon na Canon Rebel T3 Black Friday ! !,0,0.111,0.111,0.222,1,0.000,0.000,0.111,0.000
Definitely feel like champ knee soccer,0,0.074,0.000,0.000,0,0.167,0.000,0.000,0.000
half way work going night rate,0,0.074,0.000,0.167,0,0.000,0.000,0.000,0.000
guy bathroom room placing tiles . radio played Everybody Backstreet Boys .,0,0.148,0.000,0.083,0,0.083,0.000,0.000,0.000
sooooo grateful babydoll absolutely perfect amazing night ! perfect girlfriend ! !,0,0.148,0.000,0.083,1,0.333,0.000,0.083,0.000
going write research paper .,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
"Actually great start day , hope continues getting new american oversized bed evening !",0,0.173,0.000,0.143,0,0.143,0.000,0.000,0.000
got $ 200 Macbook,0,0.049,0.000,0.500,0,0.000,0.000,0.000,0.000
great dinner wonderful girlfriend .,0,0.062,0.000,0.000,0,0.400,0.000,0.000,0.000
met Sarah Kelly . . . wow . . . amazing woman God ! gave free t - shirt ! got ta love free merch,0,0.309,0.000,0.040,4,0.200,0.000,0.000,0.000
Dr says need chat thyroid issue . . . unhappy . sleep :(,0,0.160,0.000,0.000,2,0.000,0.077,0.000,0.000
Accept challenges feel exhilaration victory ! !,0,0.086,0.000,0.000,1,0.286,0.000,0.000,0.000
started Christmas baking ridiculously time consuming recipe- caramel walnut cups- pastry cooperating,0,0.148,0.000,0.083,0,0.083,0.083,0.083,0.000
Einstein bagels coffee mini snickers makes morning better . mention new sweet peppermint scented pen lol .,0,0.210,0.000,0.118,0,0.059,0.000,0.000,0.000
fun joy life ! children thank !,0,0.086,0.000,0.000,0,0.286,0.000,0.000,0.000
Listening lifehouse makes incredibly happy,0,0.062,0.000,0.000,0,0.200,0.000,0.000,0.000
loev little babirs . love break . love lifs . love YOY . . EVEYRWHERE !,0,0.198,0.125,0.062,1,0.188,0.000,0.000,0.000
"Pretty excited ! Orgelbau , Dillingen , chosen ( unanimously ) build new organ church !",0,0.198,0.000,0.125,0,0.062,0.000,0.000,0.000
LOCKOUT ! roll 66 game season !,0,0.086,0.143,0.143,0,0.000,0.000,0.000,0.000
"Traditionalists bored bored , bored , ' rule ' cheerfully ignored",0,0.136,0.000,0.000,1,0.091,0.000,0.000,0.000
soak tub bed ! School ! . . Night tweeties ! :),0,0.148,0.000,0.000,3,0.000,0.000,0.000,0.000
carlie came fell asleep,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
Christmas tree shopping,0,0.037,0.000,0.000,0,0.333,0.000,0.000,0.000
watching snow / sleet fall outside . . . time second turbo session week - winter training yo,0,0.222,0.000,0.111,2,0.000,0.000,0.000,0.000
Yay home walking today . . . . .,0,0.111,0.000,0.111,4,0.222,0.000,0.000,0.000
Reading Harry Potter listening Christmas music .,0,0.086,0.000,0.286,0,0.286,0.000,0.000,0.000
24 hrs GRADUATION ! ! ! Going tonight celebrate,0,0.111,0.111,0.222,2,0.111,0.000,0.000,0.000
Home tonight hate family right,0,0.062,0.000,0.200,0,0.400,0.200,0.200,0.200
2 red bulls earlier today = sleep 3 hours tonight,0,0.123,0.000,0.300,0,0.000,0.000,0.000,0.000
Tonight better . Drivers ed 3 hours home chem homework :),0,0.136,0.000,0.182,0,0.091,0.000,0.000,0.000
"ordered cuuutest invitations new nieceï¿½s Christening , arrived SA . Sorry wo nt",0,0.160,0.077,0.077,0,0.077,0.000,0.000,0.000
kinda trying . ugh . oh worth effort . long day tomorrow . night tweeters !,0,0.198,0.000,0.125,0,0.000,0.062,0.000,0.000
feeling greatness finally able mean :D,0,0.074,0.167,0.000,0,0.167,0.000,0.000,0.000
love seeing cars Christmas trees !,0,0.074,0.000,0.167,0,0.333,0.000,0.000,0.000
want wish HAPPY MOTHER DAY favorite moms world : mom course sister ! ! ! HAPPY MOM DAY !,0,0.235,0.316,0.000,2,0.158,0.000,0.000,0.000
"Finally home night dinner drinking friends . Going sleep , hoping bed spin .",0,0.173,0.000,0.071,0,0.214,0.000,0.000,0.000
"woke . . busy busy busy 2day . . . bake bbyshower cupcakes jays bday cake , bleach hair boo",0,0.247,0.000,0.100,3,0.050,0.000,0.000,0.000
"Internship essay , 2 days internship , 3 finals week fall ' 11 ! Miami days :D :D",0,0.222,0.111,0.222,0,0.000,0.000,0.000,0.000
Oh crap ! Monday :-( . . . . . . . konw Christmas Carol song parodies ?,0,0.222,0.000,0.111,7,0.056,0.000,0.000,0.000
woke cat face haha,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
American Schools lively,0,0.037,0.000,0.333,0,0.000,0.000,0.000,0.000
andandthe night continues ! fav mazie ; kristina ; ericka andand robin !,0,0.160,0.000,0.077,0,0.000,0.000,0.000,0.000
bored . cold . tired . lethargic feeling . Man ! great holiday monday !,0,0.185,0.000,0.067,0,0.133,0.000,0.000,0.000
"midst exciting win , baked night away . gon na snuggle couch hot peppermint cocoa",0,0.185,0.000,0.000,0,0.200,0.000,0.067,0.000
"wonder thomasvanvliet . Maybe help , inherited $ 20000000 ! withdraw",0,0.136,0.000,0.091,0,0.091,0.000,0.000,0.000
"new favorite prayers : "" help , help , help . "" "" thank , thank , thank . """,0,0.247,0.000,0.000,4,0.200,0.000,0.000,0.000
"cold , - , hair bunged . . today going fun !",0,0.148,0.000,0.083,3,0.083,0.000,0.000,0.000
"meeting 2011 TOMORROW ! ! ! Caldwell Hall -Rm 302- 7 PM . shirts , food , legend , BOB FURNAD .",0,0.272,0.182,0.227,2,0.000,0.000,0.000,0.000
explain feel bids item seling expected . . . 6 days left,0,0.148,0.000,0.083,2,0.000,0.000,0.000,0.000
week shall serenaded chorus chainsaws neighborhood begins massive hauling away downed trees .,0,0.160,0.000,0.000,0,0.000,0.000,0.000,0.000
waste money . . ITSU officially shait ! ! . . resorted going mcdonalds :D,0,0.185,0.133,0.067,4,0.067,0.000,0.000,0.000
"Oh god , know going LONG day second cuppa 20 mins .",0,0.148,0.083,0.083,0,0.083,0.083,0.000,0.000
love touchdown celebration screams .,0,0.062,0.000,0.000,0,0.400,0.000,0.200,0.200
happened breezy,0,0.025,0.000,0.000,0,0.000,0.000,0.000,0.000
Greatest feeling Giving unconditionally Expectations andand wanting return !,0,0.111,0.000,0.000,0,0.000,0.000,0.000,0.000
found biscuits window sill . Hooray !,0,0.086,0.000,0.000,0,0.143,0.000,0.000,0.000
Got ta super early tomorrow franklin !,0,0.086,0.000,0.000,0,0.143,0.000,0.000,0.000
right corner . . . . love time year . Lights . Mistle toe . Joy . Family .,0,0.235,0.000,0.000,3,0.105,0.000,0.000,0.000
working ! ready .,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
beat bit Division . Interzone .,0,0.074,0.000,0.333,0,0.000,0.167,0.167,0.167
got insane faux - hawk . stop checking new haircut mirror .,0,0.148,0.000,0.000,0,0.000,0.083,0.083,0.083
gooooood morning,0,0.025,0.000,0.500,0,0.000,0.000,0.000,0.000
", drove gym today early swim day turns CLOSED till 9 thursday",0,0.148,0.083,0.333,0,0.083,0.000,0.000,0.000
Morning ! ! !,0,0.049,0.000,0.000,2,0.000,0.000,0.000,0.000
"Baking experiment results : delicious , sweet , rich . sweet .",0,0.148,0.000,0.000,0,0.250,0.000,0.000,0.000
"hate sneezing . start stop . Ah , right typed stop sneezed .",0,0.160,0.000,0.000,0,0.000,0.077,0.077,0.077
"face looks like punching bag , know ultimate function punching bag .",0,0.148,0.000,0.000,0,0.083,0.000,0.167,0.167
Final today straight work,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.000
shopping time homework,0,0.037,0.000,0.000,0,0.000,0.000,0.000,0.000
close tired m waking 5a . m,0,0.086,0.000,0.000,1,0.143,0.000,0.000,0.000
great day moms sis makes ya appreciate days,0,0.099,0.000,0.000,0,0.250,0.000,0.000,0.000
* gets crushes fictional animated characters instead real people *,0,0.123,0.000,0.000,0,0.100,0.100,0.100,0.100
play real quick little sister,0,0.062,0.000,0.000,0,0.200,0.000,0.000,0.000
Going work half asleep,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
chemistry past paper time .,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
Secret talent : falling stairs tripping,0,0.074,0.000,0.000,0,0.000,0.000,0.000,0.000
morning fog hanging thick Manchester airport . Looks like . Flight Scotland looking doubtful .,0,0.185,0.000,0.133,0,0.067,0.067,0.067,0.067
REdecorated Christmas tree wif mama (:,0,0.074,0.000,0.167,0,0.167,0.000,0.000,0.000
yay ' sundays ' maid came ! ! house clean ! ! !,0,0.160,0.000,0.077,3,0.077,0.000,0.000,0.000
"goodnight , mr . Hendersons lovely dry humor self morning , creeped Nicks story hides trees .",0,0.210,0.000,0.118,0,0.118,0.000,0.000,0.059
peri wish butterfly :) fly high high people joy happiness :),0,0.136,0.000,0.000,0,0.091,0.000,0.000,0.000
incredibly happy person 100 % energy . Love dance laugh . . . thing know . earth ppl,0,0.222,0.000,0.056,2,0.222,0.000,0.000,0.000
"felt good . know idea Jesus ,",0,0.086,0.000,0.143,0,0.286,0.000,0.000,0.000
lie - months great . mooching house,0,0.086,0.000,0.143,0,0.143,0.143,0.000,0.000
Mothers right mood got whining voice,0,0.074,0.000,0.000,0,0.000,0.167,0.000,0.000
got phone mom Desi time . time hear voices - it 'll person !,0,0.173,0.000,0.071,0,0.000,0.000,0.000,0.000
"Arrived home find 4 fire power trucks w / flashing lights block . Yep , block pitch black power . . .",0,0.272,0.000,0.045,2,0.136,0.000,0.000,0.045
13 Days til 18 . Finally year closer old look . old . .,0,0.173,0.000,0.143,1,0.000,0.000,0.000,0.000
road recovery starts self [ re]discovery .,0,0.086,0.000,0.000,0,0.000,0.000,0.000,0.000
Yay ! officially successfully completed year Uni :) !,0,0.111,0.000,0.111,0,0.333,0.000,0.000,0.000
"type , texts . . . baby fine ( moving heart beating ) O- , given RH shot , safe . BABY FINE !",0,0.296,0.167,0.000,2,0.125,0.083,0.083,0.083
sleep . Fun,0,0.037,0.000,0.000,0,0.333,0.000,0.000,0.000
spring pictures today going schoooool,0,0.062,0.000,0.200,0,0.000,0.000,0.000,0.000
"Today gon na boring , lonely friday night -_- home homework",0,0.136,0.000,0.182,0,0.091,0.091,0.000,0.000
"dizzy night . Good times dear love lifetime ago . Love , laughter , tears , sweet nostalgia .",0,0.235,0.000,0.158,0,0.263,0.053,0.000,0.000
day 4 day weekend !,0,0.062,0.000,0.200,0,0.000,0.000,0.000,0.000
outback dinner parent anniversary,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
lovely day yesterday . weather great ! stupid slapton,0,0.111,0.000,0.222,0,0.222,0.000,0.000,0.000
Gon na Farnsley Middle School 8 pm 8 volunteering 8th Grade Lock - …,0,0.173,0.000,0.286,1,0.000,0.000,0.000,0.000
"truly glad . iswonderful joy ahead ! "" & - Peter 1:6",0,0.148,0.000,0.000,1,0.083,0.000,0.000,0.000
Blood test 7 . m . tomorrow,0,0.086,0.000,0.143,2,0.000,0.000,0.000,0.143
Happy Star Wars day ! Enjoy holiday ( UK ),0,0.123,0.100,0.100,0,0.200,0.000,0.000,0.100
"hair pretty natural hair color . . seriously . . . dying friday ,",0,0.173,0.000,0.071,3,0.071,0.071,0.000,0.071
"Driving school 5 hours ,",0,0.062,0.000,0.200,0,0.000,0.000,0.000,0.000
job centre bound . oh yay .,0,0.086,0.000,0.000,0,0.143,0.000,0.000,0.000
figured complicated illustrator tweet !,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
"Doc visit = Bronchitis . Upper respiratory infection , sinus infection bronchitis = wifey .",0,0.185,0.000,0.000,0,0.000,0.000,0.000,0.133
Red Sox team equivalent Tiger Woods heyday : mercy .,0,0.123,0.000,0.200,0,0.000,0.000,0.000,0.000
"Thanks twittering . newbie . . friends like invite , help girl",0,0.148,0.000,0.000,1,0.333,0.000,0.000,0.000
joyful little sister comes room farts,0,0.074,0.000,0.000,0,0.000,0.000,0.000,0.000
"Headed home , y . M . Tweets",0,0.099,0.125,0.000,0,0.125,0.000,0.000,0.000
trading sorrows trading shame laying Lord <3,0,0.086,0.000,0.000,0,0.000,0.286,0.000,0.000
Yes imma wear red white,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
nt wait school thanksgiving . day 4 tests . . .,0,0.136,0.000,0.091,2,0.091,0.000,0.000,0.000
God damnit shit gon na forever . Todays gon na loooongg uneventful day,0,0.160,0.000,0.000,0,0.077,0.000,0.077,0.000
dish washer broken . got wash dishes hand,0,0.099,0.000,0.000,0,0.000,0.125,0.000,0.125
"talk lot ab freaked baby come . . . truth , wait look eyes fall love .",0,0.210,0.000,0.000,2,0.118,0.000,0.000,0.059
"gave notice vacate apt morn . looking fwd telling relatives single , poss homeless .",0,0.185,0.000,0.000,0,0.067,0.067,0.000,0.067
Mrs . Bowers comes tomorrow .,0,0.074,0.000,0.500,0,0.000,0.000,0.000,0.000
yay class semester !,0,0.049,0.000,0.000,0,0.250,0.000,0.000,0.000
"Love mt boyfriend gets drunk , knows",0,0.086,0.000,0.000,0,0.143,0.000,0.000,0.000
"year touched heart know people went , purchased items shipped . felt thing : )",0,0.185,0.000,0.000,1,0.067,0.000,0.000,0.000
Need new trainers canvas clothes fank god near christmas ! !,0,0.136,0.000,0.091,1,0.182,0.000,0.000,0.000
"GKN lively , mad quick",0,0.062,0.200,0.000,0,0.000,0.200,0.200,0.200
"got package mail : ) class got delivery conformation iPod ; "" delivered desk . """,0,0.198,0.000,0.062,3,0.000,0.000,0.000,0.000
begin Christmas shopping . . .,0,0.074,0.000,0.167,2,0.167,0.000,0.000,0.000
stopped raining . Fuckingtastic ! ),0,0.074,0.000,0.000,1,0.000,0.000,0.000,0.000
watching Grown Ups twin :) ACT . m .,0,0.111,0.111,0.000,2,0.000,0.000,0.000,0.000
Feel Comfortable Calling Father Daddy,0,0.062,0.000,0.000,0,0.200,0.000,0.000,0.000
train Wharf . . . signalling problems,0,0.086,0.000,0.143,2,0.000,0.000,0.000,0.000
"Meeting went night . shot promo air weekend MTV . tried hide close , think caught .",0,0.210,0.059,0.176,0,0.059,0.059,0.059,0.118
"Oh cheery fucking note , good night shit heads X",0,0.123,0.100,0.100,0,0.200,0.000,0.100,0.000
would'nt feel good was'nt PAIN !,0,0.074,0.167,0.000,0,0.167,0.167,0.000,0.167
Apparently twitter works terrible phone .,0,0.074,0.000,0.000,0,0.000,0.167,0.167,0.167
4 hours rape today ! -_-,0,0.074,0.000,0.333,1,0.000,0.167,0.167,0.167
bet 99 % high schoolers secretly love drama . guess rest wait year .,0,0.173,0.000,0.143,0,0.071,0.000,0.000,0.000
thrilled prom went,0,0.037,0.000,0.000,0,0.333,0.000,0.000,0.000
dois pra vc sem mais ! bis engordaa ta ruM . um por ano e pronto :),0,0.210,0.000,0.000,0,0.000,0.000,0.000,0.000
""" funny thing find busy having fun looking """,0,0.111,0.000,0.000,0,0.111,0.000,0.000,0.000
"final , !",0,0.037,0.000,0.000,1,0.000,0.000,0.000,0.000
planting garden . . . hope sun shine soon !,0,0.123,0.000,0.000,2,0.200,0.000,0.000,0.000
"listening MCR , watching DVD , chocolate hehe awesome",0,0.111,0.222,0.111,0,0.111,0.000,0.000,0.000
"watched Fair Queen daughter Kris smile complimented 25 Santa hat wearing kids saying "" Queen , rock BIG ! """,0,0.247,0.050,0.150,1,0.250,0.000,0.000,0.000
long day work tomorrow,0,0.049,0.000,0.500,0,0.000,0.250,0.000,0.000
ready final . today . tomorrow . andthe monday .,0,0.123,0.000,0.300,0,0.000,0.000,0.000,0.000
moment ago chanting slogans Saudi Arabia rulers supporting counter - revolution .,0,0.148,0.000,0.083,0,0.000,0.000,0.083,0.000
"Enjoying Vince Gill Christmas CD . Welcome , Saturday night .",0,0.136,0.091,0.273,0,0.182,0.000,0.000,0.000
Rockstar photographer shoot went great tonight . little different usual stuff - nice .,0,0.173,0.000,0.071,0,0.071,0.071,0.071,0.071
Sitting acting like realized need resume,0,0.074,0.000,0.000,0,0.167,0.000,0.000,0.000
"promise ! God , find smiling reason !",0,0.099,0.000,0.000,0,0.250,0.000,0.000,0.000
Christmas music makes happy .,0,0.062,0.000,0.200,0,0.600,0.000,0.000,0.000
"GoodMorning . Father going balistic , beat , Good Day , text",0,0.148,0.000,0.167,0,0.167,0.083,0.083,0.083
semi - awake . hours .,0,0.074,0.000,0.167,0,0.000,0.000,0.000,0.000
guidance councellors Germany sitting sending offial records colleges .,0,0.111,0.000,0.111,0,0.000,0.000,0.000,0.000
Sissy went Bridal Shower tonight ; crazy women ! !,0,0.123,0.000,0.200,1,0.100,0.000,0.100,0.100
Working history project . . .,0,0.074,0.000,0.000,2,0.000,0.000,0.000,0.000
"2 functions today , looks like leaving till 4 . . . work tommorow morning",0,0.185,0.000,0.333,2,0.067,0.000,0.000,0.000
enjoying cup chicken soup !,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
"Cheesesteak dinner ; post picture , gone ( left quickly ) .",0,0.148,0.000,0.083,1,0.000,0.000,0.000,0.000
"BBQ gone ! Weather stayed good right bonus . bed , training morning 06:30 work",0,0.185,0.067,0.067,0,0.133,0.000,0.000,0.000
choosing britney dance showcase ! yesss nt wait . 58 days . . . .,0,0.185,0.000,0.067,3,0.133,0.000,0.000,0.000
seen today sick crying people,0,0.062,0.000,0.200,0,0.000,0.400,0.000,0.200
"early ? ! ? ! Oh yeah , meeting ! ! !",0,0.148,0.000,0.000,5,0.000,0.000,0.000,0.000
Tom Phillips jovial start week Joe strutting video package juxtaposition,0,0.123,0.000,0.200,0,0.100,0.000,0.000,0.000
received Leeds 10 K bib timing chip - hip injury means wo breaking 10 K PB time,0,0.210,0.176,0.235,0,0.000,0.059,0.059,0.059
"Jesus said , "" resurrection life . . . . lives believes shall die . """,0,0.198,0.000,0.062,5,0.062,0.062,0.000,0.062
good morning,0,0.025,0.000,0.500,0,0.500,0.000,0.000,0.000
"1 thing U connecting twitter ? constantly blown away ppls love , authenticity humor !",0,0.185,0.067,0.067,0,0.133,0.000,0.000,0.000
Start 4 hour IV infusion tommorrow :/,0,0.086,0.143,0.286,0,0.000,0.000,0.000,0.000
"pugged ready . device updates , feel free bombard time . Time actually .",0,0.173,0.000,0.000,0,0.071,0.000,0.071,0.071
"storm acting . . . . Excited discussion session Social Media . Scott Lake , CEO ThinkSM , attending .",0,0.247,0.050,0.100,3,0.050,0.000,0.050,0.000
early finish project,0,0.037,0.000,0.000,0,0.000,0.000,0.000,0.000
holiday decorations apartment storage unit . start .,0,0.099,0.000,0.000,0,0.125,0.000,0.000,0.000
"feel weird everytime gf add fb . eventually break , gets , new adds , d cycle continues . .",0,0.247,0.000,0.000,1,0.000,0.000,0.000,0.000
lose texting buddies everyday . going bed . day school work tomorrow,0,0.148,0.000,0.167,0,0.000,0.083,0.000,0.000
Work busy absolutely sale woke hour nap alllll tomorrow !,0,0.123,0.000,0.100,0,0.000,0.000,0.000,0.000
christmas party family,0,0.037,0.000,0.000,0,1.000,0.000,0.000,0.000
wait meet Matt parents tomorrow . having new boyfriend . . . Eh kind boyfriend ;),0,0.198,0.000,0.125,2,0.062,0.000,0.000,0.000
u truly r takes mo energy 4 u 2 generate negativity 2 B naturally joyful,0,0.185,0.067,0.200,0,0.067,0.067,0.000,0.000
"Waking fat ginger cat face , hardly sleep . .",0,0.123,0.000,0.000,1,0.000,0.000,0.000,0.000
God love classmates bringing hot chocolate ( fortified calcium ) class today ! Dessert + bone health =,0,0.222,0.000,0.056,0,0.111,0.000,0.056,0.000
Train rides enjoyable ears bleed entire trip . . .,0,0.123,0.000,0.000,2,0.000,0.100,0.000,0.100
"weekend getaway ! Energized week , bring ! lol",0,0.111,0.000,0.222,0,0.000,0.000,0.000,0.000
time day sit feet Jesus .,0,0.074,0.000,0.333,0,0.167,0.000,0.000,0.000
"New baby . attempting "" painting "" weekend .",0,0.111,0.000,0.111,0,0.111,0.000,0.000,0.000
"got ta feelin ( woo - hoo ) today gunna good , good day",0,0.173,0.000,0.071,0,0.143,0.000,0.000,0.000
Welll folkiesss ( ; m offf dream land;work mornin;ugh;ewwy . Talkkk me;but tomorrow <3 lurvee ya'll [ ; >,0,0.235,0.000,0.211,3,0.053,0.000,0.000,0.000
bag mess today !,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.000
